"City","Name","Category","Admission","Rating"
"McKinney","Heritage Center of McKinney #2496","Museum","$17.08","4.8"
"Frisco","Victory Plaza of Frisco #2497","Park","$0.41","4.9"
"Pasadena","Discovery Gardens of Pasadena #2498","Historical Site","$4.98","4.2"
"Mesquite","Liberty Monument of Mesquite #2499","Theme Park","$35.40","4.1"
"Austin","Frontier Preserve of Austin #2500","Landmark","$29.29","4.2"
"Houston","Grand Hall of Houston #2501","Nature","$34.98","4.1"
"Dallas","Heritage Center of Dallas #2502","Museum","$10.24","4.9"
"San Antonio","Victory Plaza of San Antonio #2503","Park","$8.70","4.9"
"Fort Worth","Discovery Gardens of Fort Worth #2504","Historical Site","$42.07","4.9"
"El Paso","Liberty Monument of El Paso #2505","Theme Park","$48.58","4.9"
"Arlington","Frontier Preserve of Arlington #2506","Landmark","$2.03","4.9"
"Corpus Christi","Grand Hall of Corpus Christi #2507","Nature","$29.81","4.6"
"Plano","Heritage Center of Plano #2508","Museum","$25.49","4.4"
"Laredo","Victory Plaza of Laredo #2509","Park","$8.79","4.7"
"Lubbock","Discovery Gardens of Lubbock #2510","Historical Site","$39.84","4.5"
"Garland","Liberty Monument of Garland #2511","Theme Park","$43.45","4.4"
"Irving","Frontier Preserve of Irving #2512","Landmark","$47.44","4.4"
"Amarillo","Grand Hall of Amarillo #2513","Nature","$12.18","4.8"
"Grand Prairie","Heritage Center of Grand Prairie #2514","Museum","$48.69","4.6"
"Brownsville","Victory Plaza of Brownsville #2515","Park","$29.73","4.7"
"McKinney","Discovery Gardens of McKinney #2516","Historical Site","$14.88","4.6"
"Frisco","Liberty Monument of Frisco #2517","Theme Park","$42.14","5.0"
"Pasadena","Frontier Preserve of Pasadena #2518","Landmark","$12.03","4.8"
"Mesquite","Grand Hall of Mesquite #2519","Nature","$36.22","4.8"
"Austin","Heritage Center of Austin #2520","Museum","$39.75","4.9"
"Houston","Victory Plaza of Houston #2521","Park","$24.86","4.3"
"Dallas","Discovery Gardens of Dallas #2522","Historical Site","$9.19","4.1"
"San Antonio","Liberty Monument of San Antonio #2523","Theme Park","$6.00","4.4"
"Fort Worth","Frontier Preserve of Fort Worth #2524","Landmark","$32.57","4.7"
"El Paso","Grand Hall of El Paso #2525","Nature","$30.49","4.0"
"Arlington","Heritage Center of Arlington #2526","Museum","$1.62","4.7"
"Corpus Christi","Victory Plaza of Corpus Christi #2527","Park","$32.01","5.0"
"Plano","Discovery Gardens of Plano #2528","Historical Site","$30.63","4.8"
"Laredo","Liberty Monument of Laredo #2529","Theme Park","$14.02","4.9"
"Lubbock","Frontier Preserve of Lubbock #2530","Landmark","$18.77","4.6"
"Garland","Grand Hall of Garland #2531","Nature","$18.82","4.6"
"Irving","Heritage Center of Irving #2532","Museum","$42.35","4.1"
"Amarillo","Victory Plaza of Amarillo #2533","Park","$46.99","4.4"
"Grand Prairie","Discovery Gardens of Grand Prairie #2534","Historical Site","$40.26","4.2"
"Brownsville","Liberty Monument of Brownsville #2535","Theme Park","$48.40","4.9"
"McKinney","Frontier Preserve of McKinney #2536","Landmark","$38.53","4.2"
"Frisco","Grand Hall of Frisco #2537","Nature","$42.88","4.6"
"Pasadena","Heritage Center of Pasadena #2538","Museum","$16.12","4.1"
"Mesquite","Victory Plaza of Mesquite #2539","Park","$36.89","4.1"
"Austin","Discovery Gardens of Austin #2540","Historical Site","$17.90","4.0"
"Houston","Liberty Monument of Houston #2541","Theme Park","$45.83","4.6"
"Dallas","Frontier Preserve of Dallas #2542","Landmark","$18.58","4.9"
"San Antonio","Grand Hall of San Antonio #2543","Nature","$33.03","4.5"
"Fort Worth","Heritage Center of Fort Worth #2544","Museum","$43.31","4.0"
"El Paso","Victory Plaza of El Paso #2545","Park","$25.54","5.0"
"Arlington","Discovery Gardens of Arlington #2546","Historical Site","$39.53","4.7"
"Corpus Christi","Liberty Monument of Corpus Christi #2547","Theme Park","$24.89","4.6"
"Plano","Frontier Preserve of Plano #2548","Landmark","$4.51","4.4"
"Laredo","Grand Hall of Laredo #2549","Nature","$14.41","4.1"
"Lubbock","Heritage Center of Lubbock #2550","Museum","$36.11","4.8"
"Garland","Victory Plaza of Garland #2551","Park","$40.55","4.8"
"Irving","Discovery Gardens of Irving #2552","Historical Site","$10.69","4.5"
"Amarillo","Liberty Monument of Amarillo #2553","Theme Park","$37.61","4.0"
"Grand Prairie","Frontier Preserve of Grand Prairie #2554","Landmark","$19.34","4.2"
"Brownsville","Grand Hall of Brownsville #2555","Nature","$41.46","4.8"
"McKinney","Heritage Center of McKinney #2556","Museum","$4.37","4.4"
"Frisco","Victory Plaza of Frisco #2557","Park","$29.86","4.3"
"Pasadena","Discovery Gardens of Pasadena #2558","Historical Site","$43.49","4.3"
"Mesquite","Liberty Monument of Mesquite #2559","Theme Park","$31.66","4.8"
"Austin","Frontier Preserve of Austin #2560","Landmark","$40.87","4.1"
"Houston","Grand Hall of Houston #2561","Nature","$29.31","4.9"
"Dallas","Heritage Center of Dallas #2562","Museum","$34.09","5.0"
"San Antonio","Victory Plaza of San Antonio #2563","Park","$27.71","4.6"
"Fort Worth","Discovery Gardens of Fort Worth #2564","Historical Site","$22.89","4.3"
"El Paso","Liberty Monument of El Paso #2565","Theme Park","$20.03","4.2"
"Arlington","Frontier Preserve of Arlington #2566","Landmark","$46.41","4.4"
"Corpus Christi","Grand Hall of Corpus Christi #2567","Nature","$39.20","4.9"
"Plano","Heritage Center of Plano #2568","Museum","$48.40","4.0"
"Laredo","Victory Plaza of Laredo #2569","Park","$10.89","4.1"
"Lubbock","Discovery Gardens of Lubbock #2570","Historical Site","$42.46","4.5"
"Garland","Liberty Monument of Garland #2571","Theme Park","$5.85","4.4"
"Irving","Frontier Preserve of Irving #2572","Landmark","$47.42","4.6"
"Amarillo","Grand Hall of Amarillo #2573","Nature","$33.59","4.0"
"Grand Prairie","Heritage Center of Grand Prairie #2574","Museum","$3.63","4.5"
"Brownsville","Victory Plaza of Brownsville #2575","Park","$36.51","4.7"
"McKinney","Discovery Gardens of McKinney #2576","Historical Site","$31.09","4.1"
"Frisco","Liberty Monument of Frisco #2577","Theme Park","$22.81","4.4"
"Pasadena","Frontier Preserve of Pasadena #2578","Landmark","$30.93","4.4"
"Mesquite","Grand Hall of Mesquite #2579","Nature","$10.91","4.1"
"Austin","Heritage Center of Austin #2580","Museum","$35.28","4.9"
"Houston","Victory Plaza of Houston #2581","Park","$23.81","4.7"
"Dallas","Discovery Gardens of Dallas #2582","Historical Site","$36.89","5.0"
"San Antonio","Liberty Monument of San Antonio #2583","Theme Park","$18.93","4.3"
"Fort Worth","Frontier Preserve of Fort Worth #2584","Landmark","$26.63","4.8"
"El Paso","Grand Hall of El Paso #2585","Nature","$15.68","4.1"
"Arlington","Heritage Center of Arlington #2586","Museum","$0.71","4.0"
"Corpus Christi","Victory Plaza of Corpus Christi #2587","Park","$41.87","4.5"
"Plano","Discovery Gardens of Plano #2588","Historical Site","$10.36","4.8"
"Laredo","Liberty Monument of Laredo #2589","Theme Park","$40.90","4.6"
"Lubbock","Frontier Preserve of Lubbock #2590","Landmark","$18.30","4.3"
"Garland","Grand Hall of Garland #2591","Nature","$18.86","4.5"
"Irving","Heritage Center of Irving #2592","Museum","$5.68","4.9"
"Amarillo","Victory Plaza of Amarillo #2593","Park","$41.76","4.5"
"Grand Prairie","Discovery Gardens of Grand Prairie #2594","Historical Site","$6.05","4.6"
"Brownsville","Liberty Monument of Brownsville #2595","Theme Park","$7.56","4.9"
"McKinney","Frontier Preserve of McKinney #2596","Landmark","$36.78","4.9"
"Frisco","Grand Hall of Frisco #2597","Nature","$28.93","5.0"
"Pasadena","Heritage Center of Pasadena #2598","Museum","$5.94","4.2"
"Mesquite","Victory Plaza of Mesquite #2599","Park","$49.84","4.3"
"Austin","Discovery Gardens of Austin #2600","Historical Site","$38.41","4.3"
"Houston","Liberty Monument of Houston #2601","Theme Park","$44.52","4.3"
"Dallas","Frontier Preserve of Dallas #2602","Landmark","$15.51","4.3"
"San Antonio","Grand Hall of San Antonio #2603","Nature","$29.31","4.6"
"Fort Worth","Heritage Center of Fort Worth #2604","Museum","$20.50","4.5"
"El Paso","Victory Plaza of El Paso #2605","Park","$1.72","4.7"
"Arlington","Discovery Gardens of Arlington #2606","Historical Site","$30.41","4.8"
"Corpus Christi","Liberty Monument of Corpus Christi #2607","Theme Park","$39.77","4.7"
"Plano","Frontier Preserve of Plano #2608","Landmark","$46.66","5.0"
"Laredo","Grand Hall of Laredo #2609","Nature","$0.28","4.9"
"Lubbock","Heritage Center of Lubbock #2610","Museum","$43.27","4.1"
"Garland","Victory Plaza of Garland #2611","Park","$4.99","4.7"
"Irving","Discovery Gardens of Irving #2612","Historical Site","$35.53","4.1"
"Amarillo","Liberty Monument of Amarillo #2613","Theme Park","$30.32","4.2"
"Grand Prairie","Frontier Preserve of Grand Prairie #2614","Landmark","$18.66","4.1"
"Brownsville","Grand Hall of Brownsville #2615","Nature","$27.42","4.6"
"McKinney","Heritage Center of McKinney #2616","Museum","$32.81","4.2"
"Frisco","Victory Plaza of Frisco #2617","Park","$40.72","4.4"
"Pasadena","Discovery Gardens of Pasadena #2618","Historical Site","$49.01","4.1"
"Mesquite","Liberty Monument of Mesquite #2619","Theme Park","$42.11","4.4"
"Austin","Frontier Preserve of Austin #2620","Landmark","$2.07","4.4"
"Houston","Grand Hall of Houston #2621","Nature","$28.89","4.9"
"Dallas","Heritage Center of Dallas #2622","Museum","$20.54","4.7"
"San Antonio","Victory Plaza of San Antonio #2623","Park","$39.84","4.8"
"Fort Worth","Discovery Gardens of Fort Worth #2624","Historical Site","$12.51","4.7"
"El Paso","Liberty Monument of El Paso #2625","Theme Park","$16.07","4.3"
"Arlington","Frontier Preserve of Arlington #2626","Landmark","$11.19","4.6"
"Corpus Christi","Grand Hall of Corpus Christi #2627","Nature","$27.52","4.3"
"Plano","Heritage Center of Plano #2628","Museum","$46.21","4.4"
"Laredo","Victory Plaza of Laredo #2629","Park","$19.63","4.5"
"Lubbock","Discovery Gardens of Lubbock #2630","Historical Site","$20.80","4.2"
"Garland","Liberty Monument of Garland #2631","Theme Park","$2.63","4.5"
"Irving","Frontier Preserve of Irving #2632","Landmark","$6.78","4.7"
"Amarillo","Grand Hall of Amarillo #2633","Nature","$23.20","4.9"
"Grand Prairie","Heritage Center of Grand Prairie #2634","Museum","$34.69","4.7"
"Brownsville","Victory Plaza of Brownsville #2635","Park","$7.24","4.1"
"McKinney","Discovery Gardens of McKinney #2636","Historical Site","$20.64","4.3"
"Frisco","Liberty Monument of Frisco #2637","Theme Park","$38.39","4.6"
"Pasadena","Frontier Preserve of Pasadena #2638","Landmark","$15.85","4.7"
"Mesquite","Grand Hall of Mesquite #2639","Nature","$45.47","4.9"
"Austin","Heritage Center of Austin #2640","Museum","$21.81","4.0"
"Houston","Victory Plaza of Houston #2641","Park","$18.33","5.0"
"Dallas","Discovery Gardens of Dallas #2642","Historical Site","$19.32","4.5"
"San Antonio","Liberty Monument of San Antonio #2643","Theme Park","$24.23","4.0"
"Fort Worth","Frontier Preserve of Fort Worth #2644","Landmark","$8.86","4.9"
"El Paso","Grand Hall of El Paso #2645","Nature","$48.26","4.5"
"Arlington","Heritage Center of Arlington #2646","Museum","$3.68","4.2"
"Corpus Christi","Victory Plaza of Corpus Christi #2647","Park","$16.19","4.2"
"Plano","Discovery Gardens of Plano #2648","Historical Site","$47.94","4.9"
"Laredo","Liberty Monument of Laredo #2649","Theme Park","$42.28","4.6"
"Lubbock","Frontier Preserve of Lubbock #2650","Landmark","$19.78","4.9"
"Garland","Grand Hall of Garland #2651","Nature","$44.76","4.0"
"Irving","Heritage Center of Irving #2652","Museum","$41.37","4.5"
"Amarillo","Victory Plaza of Amarillo #2653","Park","$2.67","4.8"
"Grand Prairie","Discovery Gardens of Grand Prairie #2654","Historical Site","$15.26","4.6"
"Brownsville","Liberty Monument of Brownsville #2655","Theme Park","$25.01","4.7"
"McKinney","Frontier Preserve of McKinney #2656","Landmark","$24.44","4.0"
"Frisco","Grand Hall of Frisco #2657","Nature","$42.67","4.2"
"Pasadena","Heritage Center of Pasadena #2658","Museum","$17.75","4.6"
"Mesquite","Victory Plaza of Mesquite #2659","Park","$14.80","4.0"
"Austin","Discovery Gardens of Austin #2660","Historical Site","$16.79","4.4"
"Houston","Liberty Monument of Houston #2661","Theme Park","$17.14","4.1"
"Dallas","Frontier Preserve of Dallas #2662","Landmark","$22.49","4.5"
"San Antonio","Grand Hall of San Antonio #2663","Nature","$17.66","4.1"
"Fort Worth","Heritage Center of Fort Worth #2664","Museum","$18.13","4.8"
"El Paso","Victory Plaza of El Paso #2665","Park","$21.61","4.8"
"Arlington","Discovery Gardens of Arlington #2666","Historical Site","$35.60","4.1"
"Corpus Christi","Liberty Monument of Corpus Christi #2667","Theme Park","$12.48","4.9"
"Plano","Frontier Preserve of Plano #2668","Landmark","$20.14","4.4"
"Laredo","Grand Hall of Laredo #2669","Nature","$34.40","4.8"
"Lubbock","Heritage Center of Lubbock #2670","Museum","$0.78","4.3"
"Garland","Victory Plaza of Garland #2671","Park","$38.39","4.6"
"Irving","Discovery Gardens of Irving #2672","Historical Site","$20.55","4.1"
"Amarillo","Liberty Monument of Amarillo #2673","Theme Park","$2.56","5.0"
"Grand Prairie","Frontier Preserve of Grand Prairie #2674","Landmark","$2.28","4.3"
"Brownsville","Grand Hall of Brownsville #2675","Nature","$15.41","4.4"
"McKinney","Heritage Center of McKinney #2676","Museum","$21.11","4.7"
"Frisco","Victory Plaza of Frisco #2677","Park","$48.50","4.4"
"Pasadena","Discovery Gardens of Pasadena #2678","Historical Site","$36.99","4.3"
"Mesquite","Liberty Monument of Mesquite #2679","Theme Park","$42.51","4.1"
"Austin","Frontier Preserve of Austin #2680","Landmark","$33.28","4.0"
"Houston","Grand Hall of Houston #2681","Nature","$23.47","5.0"
"Dallas","Heritage Center of Dallas #2682","Museum","$28.35","4.1"
"San Antonio","Victory Plaza of San Antonio #2683","Park","$2.28","4.0"
"Fort Worth","Discovery Gardens of Fort Worth #2684","Historical Site","$43.08","4.9"
"El Paso","Liberty Monument of El Paso #2685","Theme Park","$30.79","4.2"
"Arlington","Frontier Preserve of Arlington #2686","Landmark","$31.68","4.3"
"Corpus Christi","Grand Hall of Corpus Christi #2687","Nature","$35.52","4.7"
"Plano","Heritage Center of Plano #2688","Museum","$32.95","4.3"
"Laredo","Victory Plaza of Laredo #2689","Park","$24.30","4.7"
"Lubbock","Discovery Gardens of Lubbock #2690","Historical Site","$46.04","4.1"
"Garland","Liberty Monument of Garland #2691","Theme Park","$9.04","4.6"
"Irving","Frontier Preserve of Irving #2692","Landmark","$21.12","5.0"
"Amarillo","Grand Hall of Amarillo #2693","Nature","$0.55","4.3"
"Grand Prairie","Heritage Center of Grand Prairie #2694","Museum","$6.64","4.4"
"Brownsville","Victory Plaza of Brownsville #2695","Park","$16.02","4.8"
"McKinney","Discovery Gardens of McKinney #2696","Historical Site","$14.68","4.4"
"Frisco","Liberty Monument of Frisco #2697","Theme Park","$46.39","5.0"
"Pasadena","Frontier Preserve of Pasadena #2698","Landmark","$34.66","4.1"
"Mesquite","Grand Hall of Mesquite #2699","Nature","$23.95","4.1"
"Austin","Heritage Center of Austin #2700","Museum","$2.22","4.3"
"Houston","Victory Plaza of Houston #2701","Park","$42.33","4.3"
"Dallas","Discovery Gardens of Dallas #2702","Historical Site","$27.80","4.4"
"San Antonio","Liberty Monument of San Antonio #2703","Theme Park","$45.35","4.4"
"Fort Worth","Frontier Preserve of Fort Worth #2704","Landmark","$31.10","4.0"
"El Paso","Grand Hall of El Paso #2705","Nature","$21.14","4.7"
"Arlington","Heritage Center of Arlington #2706","Museum","$23.76","4.5"
"Corpus Christi","Victory Plaza of Corpus Christi #2707","Park","$10.14","4.1"
"Plano","Discovery Gardens of Plano #2708","Historical Site","$18.33","4.9"
"Laredo","Liberty Monument of Laredo #2709","Theme Park","$21.51","4.3"
"Lubbock","Frontier Preserve of Lubbock #2710","Landmark","$38.64","4.5"
"Garland","Grand Hall of Garland #2711","Nature","$45.65","4.4"
"Irving","Heritage Center of Irving #2712","Museum","$43.26","4.5"
"Amarillo","Victory Plaza of Amarillo #2713","Park","$0.96","4.3"
"Grand Prairie","Discovery Gardens of Grand Prairie #2714","Historical Site","$47.80","4.4"
"Brownsville","Liberty Monument of Brownsville #2715","Theme Park","$33.14","4.0"
"McKinney","Frontier Preserve of McKinney #2716","Landmark","$28.41","4.5"
"Frisco","Grand Hall of Frisco #2717","Nature","$45.36","4.8"
"Pasadena","Heritage Center of Pasadena #2718","Museum","$30.00","5.0"
"Mesquite","Victory Plaza of Mesquite #2719","Park","$39.60","5.0"
"Austin","Discovery Gardens of Austin #2720","Historical Site","$14.37","4.1"
"Houston","Liberty Monument of Houston #2721","Theme Park","$29.63","4.8"
"Dallas","Frontier Preserve of Dallas #2722","Landmark","$45.64","4.9"
"San Antonio","Grand Hall of San Antonio #2723","Nature","$7.29","4.6"
"Fort Worth","Heritage Center of Fort Worth #2724","Museum","$41.23","4.7"
"El Paso","Victory Plaza of El Paso #2725","Park","$2.99","5.0"
"Arlington","Discovery Gardens of Arlington #2726","Historical Site","$47.79","4.2"
"Corpus Christi","Liberty Monument of Corpus Christi #2727","Theme Park","$29.76","4.5"
"Plano","Frontier Preserve of Plano #2728","Landmark","$24.49","5.0"
"Laredo","Grand Hall of Laredo #2729","Nature","$4.16","4.5"
"Lubbock","Heritage Center of Lubbock #2730","Museum","$49.56","4.8"
"Garland","Victory Plaza of Garland #2731","Park","$3.39","4.2"
"Irving","Discovery Gardens of Irving #2732","Historical Site","$32.48","4.8"
"Amarillo","Liberty Monument of Amarillo #2733","Theme Park","$22.30","4.7"
"Grand Prairie","Frontier Preserve of Grand Prairie #2734","Landmark","$13.65","4.9"
"Brownsville","Grand Hall of Brownsville #2735","Nature","$12.21","4.3"
"McKinney","Heritage Center of McKinney #2736","Museum","$16.89","4.6"
"Frisco","Victory Plaza of Frisco #2737","Park","$13.43","4.3"
"Pasadena","Discovery Gardens of Pasadena #2738","Historical Site","$37.82","4.2"
"Mesquite","Liberty Monument of Mesquite #2739","Theme Park","$26.22","4.8"
"Austin","Frontier Preserve of Austin #2740","Landmark","$36.49","4.5"
"Houston","Grand Hall of Houston #2741","Nature","$14.66","4.3"
"Dallas","Heritage Center of Dallas #2742","Museum","$31.62","5.0"
"San Antonio","Victory Plaza of San Antonio #2743","Park","$20.40","4.2"
"Fort Worth","Discovery Gardens of Fort Worth #2744","Historical Site","$24.30","4.6"
"El Paso","Liberty Monument of El Paso #2745","Theme Park","$5.43","4.8"
"Arlington","Frontier Preserve of Arlington #2746","Landmark","$15.33","4.4"
"Corpus Christi","Grand Hall of Corpus Christi #2747","Nature","$3.06","4.2"
"Plano","Heritage Center of Plano #2748","Museum","$11.52","4.9"
"Laredo","Victory Plaza of Laredo #2749","Park","$5.49","4.8"
"Lubbock","Discovery Gardens of Lubbock #2750","Historical Site","$5.87","4.6"
"Garland","Liberty Monument of Garland #2751","Theme Park","$40.56","4.3"
"Irving","Frontier Preserve of Irving #2752","Landmark","$26.42","4.4"
"Amarillo","Grand Hall of Amarillo #2753","Nature","$12.92","4.7"
"Grand Prairie","Heritage Center of Grand Prairie #2754","Museum","$12.91","4.7"
"Brownsville","Victory Plaza of Brownsville #2755","Park","$26.68","4.8"
"McKinney","Discovery Gardens of McKinney #2756","Historical Site","$0.69","4.3"
"Frisco","Liberty Monument of Frisco #2757","Theme Park","$40.21","4.1"
"Pasadena","Frontier Preserve of Pasadena #2758","Landmark","$27.17","4.1"
"Mesquite","Grand Hall of Mesquite #2759","Nature","$9.70","4.5"
"Austin","Heritage Center of Austin #2760","Museum","$24.44","4.4"
"Houston","Victory Plaza of Houston #2761","Park","$19.31","4.6"
"Dallas","Discovery Gardens of Dallas #2762","Historical Site","$31.22","5.0"
"San Antonio","Liberty Monument of San Antonio #2763","Theme Park","$28.65","4.3"
"Fort Worth","Frontier Preserve of Fort Worth #2764","Landmark","$48.06","4.8"
"El Paso","Grand Hall of El Paso #2765","Nature","$23.67","4.9"
"Arlington","Heritage Center of Arlington #2766","Museum","$45.79","4.1"
"Corpus Christi","Victory Plaza of Corpus Christi #2767","Park","$45.43","4.9"
"Plano","Discovery Gardens of Plano #2768","Historical Site","$30.48","4.6"
"Laredo","Liberty Monument of Laredo #2769","Theme Park","$21.82","4.5"
"Lubbock","Frontier Preserve of Lubbock #2770","Landmark","$38.44","4.2"
"Garland","Grand Hall of Garland #2771","Nature","$14.40","4.7"
"Irving","Heritage Center of Irving #2772","Museum","$6.92","4.7"
"Amarillo","Victory Plaza of Amarillo #2773","Park","$41.99","4.5"
"Grand Prairie","Discovery Gardens of Grand Prairie #2774","Historical Site","$26.01","4.0"
"Brownsville","Liberty Monument of Brownsville #2775","Theme Park","$38.42","4.1"
"McKinney","Frontier Preserve of McKinney #2776","Landmark","$17.24","4.1"
"Frisco","Grand Hall of Frisco #2777","Nature","$30.85","4.6"
"Pasadena","Heritage Center of Pasadena #2778","Museum","$20.43","4.1"
"Mesquite","Victory Plaza of Mesquite #2779","Park","$34.56","4.3"
"Austin","Discovery Gardens of Austin #2780","Historical Site","$21.95","4.8"
"Houston","Liberty Monument of Houston #2781","Theme Park","$33.97","4.2"
"Dallas","Frontier Preserve of Dallas #2782","Landmark","$7.94","4.9"
"San Antonio","Grand Hall of San Antonio #2783","Nature","$9.16","4.1"
"Fort Worth","Heritage Center of Fort Worth #2784","Museum","$22.81","4.3"
"El Paso","Victory Plaza of El Paso #2785","Park","$31.16","4.4"
"Arlington","Discovery Gardens of Arlington #2786","Historical Site","$19.21","4.3"
"Corpus Christi","Liberty Monument of Corpus Christi #2787","Theme Park","$45.24","4.2"
"Plano","Frontier Preserve of Plano #2788","Landmark","$45.58","4.1"
"Laredo","Grand Hall of Laredo #2789","Nature","$27.50","4.6"
"Lubbock","Heritage Center of Lubbock #2790","Museum","$46.34","4.3"
"Garland","Victory Plaza of Garland #2791","Park","$45.26","4.8"
"Irving","Discovery Gardens of Irving #2792","Historical Site","$40.49","4.4"
"Amarillo","Liberty Monument of Amarillo #2793","Theme Park","$41.02","4.0"
"Grand Prairie","Frontier Preserve of Grand Prairie #2794","Landmark","$44.81","4.1"
"Brownsville","Grand Hall of Brownsville #2795","Nature","$31.66","4.5"
"McKinney","Heritage Center of McKinney #2796","Museum","$32.25","4.2"
"Frisco","Victory Plaza of Frisco #2797","Park","$41.39","4.9"
"Pasadena","Discovery Gardens of Pasadena #2798","Historical Site","$39.06","4.4"
"Mesquite","Liberty Monument of Mesquite #2799","Theme Park","$31.28","4.2"
"Austin","Frontier Preserve of Austin #2800","Landmark","$13.40","4.7"
"Houston","Grand Hall of Houston #2801","Nature","$28.62","4.5"
"Dallas","Heritage Center of Dallas #2802","Museum","$2.19","4.1"
"San Antonio","Victory Plaza of San Antonio #2803","Park","$4.97","4.9"
"Fort Worth","Discovery Gardens of Fort Worth #2804","Historical Site","$46.02","4.3"
"El Paso","Liberty Monument of El Paso #2805","Theme Park","$26.22","4.3"
"Arlington","Frontier Preserve of Arlington #2806","Landmark","$12.77","4.3"
"Corpus Christi","Grand Hall of Corpus Christi #2807","Nature","$22.70","4.3"
"Plano","Heritage Center of Plano #2808","Museum","$48.76","4.9"
"Laredo","Victory Plaza of Laredo #2809","Park","$7.10","4.1"
"Lubbock","Discovery Gardens of Lubbock #2810","Historical Site","$23.85","5.0"
"Garland","Liberty Monument of Garland #2811","Theme Park","$49.60","4.4"
"Irving","Frontier Preserve of Irving #2812","Landmark","$39.65","4.7"
"Amarillo","Grand Hall of Amarillo #2813","Nature","$48.72","4.0"
"Grand Prairie","Heritage Center of Grand Prairie #2814","Museum","$5.57","4.4"
"Brownsville","Victory Plaza of Brownsville #2815","Park","$12.40","5.0"
"McKinney","Discovery Gardens of McKinney #2816","Historical Site","$13.14","4.8"
"Frisco","Liberty Monument of Frisco #2817","Theme Park","$27.01","4.8"
"Pasadena","Frontier Preserve of Pasadena #2818","Landmark","$44.80","5.0"
"Mesquite","Grand Hall of Mesquite #2819","Nature","$22.19","4.5"
"Austin","Heritage Center of Austin #2820","Museum","$13.63","4.7"
"Houston","Victory Plaza of Houston #2821","Park","$18.72","4.5"
"Dallas","Discovery Gardens of Dallas #2822","Historical Site","$15.06","4.4"
"San Antonio","Liberty Monument of San Antonio #2823","Theme Park","$16.67","4.2"
"Fort Worth","Frontier Preserve of Fort Worth #2824","Landmark","$45.23","4.8"
"El Paso","Grand Hall of El Paso #2825","Nature","$3.84","4.2"
"Arlington","Heritage Center of Arlington #2826","Museum","$44.64","4.4"
"Corpus Christi","Victory Plaza of Corpus Christi #2827","Park","$15.23","4.9"
"Plano","Discovery Gardens of Plano #2828","Historical Site","$15.30","4.8"
"Laredo","Liberty Monument of Laredo #2829","Theme Park","$32.09","4.0"
"Lubbock","Frontier Preserve of Lubbock #2830","Landmark","$44.10","4.6"
"Garland","Grand Hall of Garland #2831","Nature","$7.51","4.6"
"Irving","Heritage Center of Irving #2832","Museum","$13.91","5.0"
"Amarillo","Victory Plaza of Amarillo #2833","Park","$31.00","4.7"
"Grand Prairie","Discovery Gardens of Grand Prairie #2834","Historical Site","$5.41","4.1"
"Brownsville","Liberty Monument of Brownsville #2835","Theme Park","$4.28","4.9"
"McKinney","Frontier Preserve of McKinney #2836","Landmark","$4.80","4.6"
"Frisco","Grand Hall of Frisco #2837","Nature","$13.61","4.1"
"Pasadena","Heritage Center of Pasadena #2838","Museum","$15.77","4.2"
"Mesquite","Victory Plaza of Mesquite #2839","Park","$15.00","4.5"
"Austin","Discovery Gardens of Austin #2840","Historical Site","$37.00","4.3"
"Houston","Liberty Monument of Houston #2841","Theme Park","$14.54","4.8"
"Dallas","Frontier Preserve of Dallas #2842","Landmark","$10.25","4.7"
"San Antonio","Grand Hall of San Antonio #2843","Nature","$15.01","4.7"
"Fort Worth","Heritage Center of Fort Worth #2844","Museum","$13.68","4.2"
"El Paso","Victory Plaza of El Paso #2845","Park","$28.95","4.8"
"Arlington","Discovery Gardens of Arlington #2846","Historical Site","$26.50","4.5"
"Corpus Christi","Liberty Monument of Corpus Christi #2847","Theme Park","$15.63","4.3"
"Plano","Frontier Preserve of Plano #2848","Landmark","$20.25","4.5"
"Laredo","Grand Hall of Laredo #2849","Nature","$46.89","4.9"
"Lubbock","Heritage Center of Lubbock #2850","Museum","$19.37","4.4"
"Garland","Victory Plaza of Garland #2851","Park","$39.42","4.1"
"Irving","Discovery Gardens of Irving #2852","Historical Site","$39.96","4.3"
"Amarillo","Liberty Monument of Amarillo #2853","Theme Park","$25.56","4.4"
"Grand Prairie","Frontier Preserve of Grand Prairie #2854","Landmark","$14.25","4.3"
"Brownsville","Grand Hall of Brownsville #2855","Nature","$40.66","4.2"
"McKinney","Heritage Center of McKinney #2856","Museum","$17.92","4.8"
"Frisco","Victory Plaza of Frisco #2857","Park","$31.17","4.3"
"Pasadena","Discovery Gardens of Pasadena #2858","Historical Site","$37.58","4.9"
"Mesquite","Liberty Monument of Mesquite #2859","Theme Park","$34.70","4.7"
"Austin","Frontier Preserve of Austin #2860","Landmark","$43.42","4.8"
"Houston","Grand Hall of Houston #2861","Nature","$19.46","4.6"
"Dallas","Heritage Center of Dallas #2862","Museum","$31.03","4.4"
"San Antonio","Victory Plaza of San Antonio #2863","Park","$30.31","4.0"
"Fort Worth","Discovery Gardens of Fort Worth #2864","Historical Site","$40.76","4.1"
"El Paso","Liberty Monument of El Paso #2865","Theme Park","$44.22","4.8"
"Arlington","Frontier Preserve of Arlington #2866","Landmark","$36.51","5.0"
"Corpus Christi","Grand Hall of Corpus Christi #2867","Nature","$10.52","4.7"
