"Origin","Destination","Airline","Flight_No","Price","Duration"
"ATL (Atlanta)","San Antonio","Delta","TX2303","$594.90","4.0h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2304","$177.87","4.5h"
"JFK (New York)","El Paso","Southwest","TX2305","$516.11","3.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2306","$483.02","4.0h"
"ORD (Chicago)","Corpus Christi","United","TX2307","$612.80","4.4h"
"ATL (Atlanta)","Plano","Delta","TX2308","$647.91","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX2309","$299.50","3.7h"
"JFK (New York)","Lubbock","Southwest","TX2310","$218.11","4.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX2311","$542.75","2.3h"
"ORD (Chicago)","Irving","United","TX2312","$543.71","3.2h"
"ATL (Atlanta)","Amarillo","Delta","TX2313","$263.47","4.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2314","$642.58","3.6h"
"JFK (New York)","Brownsville","Southwest","TX2315","$392.38","4.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2316","$331.01","3.1h"
"ORD (Chicago)","Frisco","United","TX2317","$623.54","4.4h"
"ATL (Atlanta)","Pasadena","Delta","TX2318","$254.06","4.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2319","$440.96","2.8h"
"JFK (New York)","Austin","Southwest","TX2320","$539.77","5.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX2321","$319.91","3.3h"
"ORD (Chicago)","Dallas","United","TX2322","$455.15","2.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2323","$190.82","2.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2324","$647.04","4.2h"
"JFK (New York)","El Paso","Southwest","TX2325","$300.70","4.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2326","$520.90","4.8h"
"ORD (Chicago)","Corpus Christi","United","TX2327","$264.36","3.0h"
"ATL (Atlanta)","Plano","Delta","TX2328","$156.67","4.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX2329","$405.51","3.6h"
"JFK (New York)","Lubbock","Southwest","TX2330","$475.36","4.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX2331","$267.16","4.1h"
"ORD (Chicago)","Irving","United","TX2332","$607.84","2.8h"
"ATL (Atlanta)","Amarillo","Delta","TX2333","$575.34","4.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2334","$153.95","4.4h"
"JFK (New York)","Brownsville","Southwest","TX2335","$337.87","3.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2336","$506.28","4.0h"
"ORD (Chicago)","Frisco","United","TX2337","$259.25","4.7h"
"ATL (Atlanta)","Pasadena","Delta","TX2338","$413.01","3.4h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2339","$597.80","2.4h"
"JFK (New York)","Austin","Southwest","TX2340","$439.99","2.4h"
"LAX (Los Angeles)","Houston","American Airlines","TX2341","$445.37","2.8h"
"ORD (Chicago)","Dallas","United","TX2342","$572.22","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX2343","$216.71","2.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2344","$214.66","4.5h"
"JFK (New York)","El Paso","Southwest","TX2345","$441.27","2.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2346","$322.11","2.7h"
"ORD (Chicago)","Corpus Christi","United","TX2347","$306.50","3.2h"
"ATL (Atlanta)","Plano","Delta","TX2348","$152.85","4.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX2349","$504.36","4.5h"
"JFK (New York)","Lubbock","Southwest","TX2350","$631.89","3.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX2351","$259.77","2.0h"
"ORD (Chicago)","Irving","United","TX2352","$540.88","2.2h"
"ATL (Atlanta)","Amarillo","Delta","TX2353","$520.11","2.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2354","$392.85","3.8h"
"JFK (New York)","Brownsville","Southwest","TX2355","$434.33","4.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2356","$488.02","3.4h"
"ORD (Chicago)","Frisco","United","TX2357","$615.20","3.8h"
"ATL (Atlanta)","Pasadena","Delta","TX2358","$399.53","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2359","$291.22","2.5h"
"JFK (New York)","Austin","Southwest","TX2360","$287.44","3.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX2361","$389.33","3.7h"
"ORD (Chicago)","Dallas","United","TX2362","$492.94","2.4h"
"ATL (Atlanta)","San Antonio","Delta","TX2363","$385.02","2.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2364","$405.72","4.2h"
"JFK (New York)","El Paso","Southwest","TX2365","$358.62","3.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2366","$360.85","2.3h"
"ORD (Chicago)","Corpus Christi","United","TX2367","$637.79","2.7h"
"ATL (Atlanta)","Plano","Delta","TX2368","$370.48","4.9h"
"SFO (San Francisco)","Laredo","JetBlue","TX2369","$209.59","3.6h"
"JFK (New York)","Lubbock","Southwest","TX2370","$275.24","3.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX2371","$225.32","3.9h"
"ORD (Chicago)","Irving","United","TX2372","$540.45","4.8h"
"ATL (Atlanta)","Amarillo","Delta","TX2373","$286.46","4.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2374","$284.23","3.6h"
"JFK (New York)","Brownsville","Southwest","TX2375","$586.60","2.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2376","$549.18","3.8h"
"ORD (Chicago)","Frisco","United","TX2377","$195.06","2.3h"
"ATL (Atlanta)","Pasadena","Delta","TX2378","$191.09","3.3h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2379","$158.27","3.5h"
"JFK (New York)","Austin","Southwest","TX2380","$636.81","3.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX2381","$172.15","3.2h"
"ORD (Chicago)","Dallas","United","TX2382","$289.10","3.1h"
"ATL (Atlanta)","San Antonio","Delta","TX2383","$444.95","3.0h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2384","$544.47","4.2h"
"JFK (New York)","El Paso","Southwest","TX2385","$410.89","3.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2386","$515.05","3.3h"
"ORD (Chicago)","Corpus Christi","United","TX2387","$323.33","2.1h"
"ATL (Atlanta)","Plano","Delta","TX2388","$459.22","4.6h"
"SFO (San Francisco)","Laredo","JetBlue","TX2389","$418.58","2.9h"
"JFK (New York)","Lubbock","Southwest","TX2390","$443.90","4.2h"
"LAX (Los Angeles)","Garland","American Airlines","TX2391","$524.44","3.1h"
"ORD (Chicago)","Irving","United","TX2392","$541.05","2.8h"
"ATL (Atlanta)","Amarillo","Delta","TX2393","$244.93","2.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2394","$534.85","4.3h"
"JFK (New York)","Brownsville","Southwest","TX2395","$592.20","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2396","$583.91","2.8h"
"ORD (Chicago)","Frisco","United","TX2397","$471.79","3.3h"
"ATL (Atlanta)","Pasadena","Delta","TX2398","$362.07","2.3h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2399","$421.46","2.6h"
"JFK (New York)","Austin","Southwest","TX2400","$195.41","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX2401","$514.39","4.8h"
"ORD (Chicago)","Dallas","United","TX2402","$597.96","2.3h"
"ATL (Atlanta)","San Antonio","Delta","TX2403","$382.39","2.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2404","$487.99","4.5h"
"JFK (New York)","El Paso","Southwest","TX2405","$200.54","4.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2406","$435.83","4.8h"
"ORD (Chicago)","Corpus Christi","United","TX2407","$485.61","4.8h"
"ATL (Atlanta)","Plano","Delta","TX2408","$602.48","4.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX2409","$465.16","2.3h"
"JFK (New York)","Lubbock","Southwest","TX2410","$515.76","3.0h"
"LAX (Los Angeles)","Garland","American Airlines","TX2411","$389.90","3.4h"
"ORD (Chicago)","Irving","United","TX2412","$632.49","4.5h"
"ATL (Atlanta)","Amarillo","Delta","TX2413","$197.05","2.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2414","$627.57","2.3h"
"JFK (New York)","Brownsville","Southwest","TX2415","$286.30","3.0h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2416","$470.68","4.8h"
"ORD (Chicago)","Frisco","United","TX2417","$194.29","2.5h"
"ATL (Atlanta)","Pasadena","Delta","TX2418","$278.13","2.4h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2419","$352.93","4.5h"
"JFK (New York)","Austin","Southwest","TX2420","$469.85","3.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX2421","$578.71","4.6h"
"ORD (Chicago)","Dallas","United","TX2422","$418.75","3.5h"
"ATL (Atlanta)","San Antonio","Delta","TX2423","$495.66","2.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2424","$621.42","2.4h"
"JFK (New York)","El Paso","Southwest","TX2425","$367.98","3.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2426","$346.00","2.7h"
"ORD (Chicago)","Corpus Christi","United","TX2427","$353.02","4.2h"
"ATL (Atlanta)","Plano","Delta","TX2428","$372.34","3.3h"
"SFO (San Francisco)","Laredo","JetBlue","TX2429","$450.69","4.7h"
"JFK (New York)","Lubbock","Southwest","TX2430","$200.73","2.2h"
"LAX (Los Angeles)","Garland","American Airlines","TX2431","$450.37","4.0h"
"ORD (Chicago)","Irving","United","TX2432","$269.13","2.5h"
"ATL (Atlanta)","Amarillo","Delta","TX2433","$294.93","3.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2434","$337.34","4.3h"
"JFK (New York)","Brownsville","Southwest","TX2435","$267.45","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2436","$347.79","3.0h"
"ORD (Chicago)","Frisco","United","TX2437","$273.94","3.6h"
"ATL (Atlanta)","Pasadena","Delta","TX2438","$485.13","3.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2439","$420.56","4.0h"
"JFK (New York)","Austin","Southwest","TX2440","$391.58","3.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX2441","$377.56","3.7h"
"ORD (Chicago)","Dallas","United","TX2442","$442.16","3.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2443","$491.96","2.4h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2444","$476.75","2.8h"
"JFK (New York)","El Paso","Southwest","TX2445","$196.06","3.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2446","$518.45","4.3h"
"ORD (Chicago)","Corpus Christi","United","TX2447","$578.16","2.5h"
"ATL (Atlanta)","Plano","Delta","TX2448","$522.23","3.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX2449","$215.20","3.0h"
"JFK (New York)","Lubbock","Southwest","TX2450","$530.21","2.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX2451","$514.54","4.1h"
"ORD (Chicago)","Irving","United","TX2452","$470.11","3.1h"
"ATL (Atlanta)","Amarillo","Delta","TX2453","$244.47","4.5h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2454","$375.04","4.0h"
"JFK (New York)","Brownsville","Southwest","TX2455","$444.14","3.0h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2456","$336.86","2.1h"
"ORD (Chicago)","Frisco","United","TX2457","$378.53","3.6h"
"ATL (Atlanta)","Pasadena","Delta","TX2458","$428.46","2.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2459","$615.73","3.0h"
"JFK (New York)","Austin","Southwest","TX2460","$621.86","2.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX2461","$483.41","4.5h"
"ORD (Chicago)","Dallas","United","TX2462","$386.21","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX2463","$247.54","3.7h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2464","$265.83","4.9h"
"JFK (New York)","El Paso","Southwest","TX2465","$172.69","4.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2466","$331.65","3.5h"
"ORD (Chicago)","Corpus Christi","United","TX2467","$649.54","2.7h"
"ATL (Atlanta)","Plano","Delta","TX2468","$396.60","3.9h"
"SFO (San Francisco)","Laredo","JetBlue","TX2469","$442.04","4.5h"
"JFK (New York)","Lubbock","Southwest","TX2470","$610.52","4.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX2471","$373.89","2.5h"
"ORD (Chicago)","Irving","United","TX2472","$241.72","4.5h"
"ATL (Atlanta)","Amarillo","Delta","TX2473","$286.95","2.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2474","$395.80","2.6h"
"JFK (New York)","Brownsville","Southwest","TX2475","$588.96","3.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2476","$546.48","3.7h"
"ORD (Chicago)","Frisco","United","TX2477","$616.50","3.2h"
"ATL (Atlanta)","Pasadena","Delta","TX2478","$640.60","2.9h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2479","$260.86","4.7h"
"JFK (New York)","Austin","Southwest","TX2480","$451.48","2.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX2481","$408.10","4.1h"
"ORD (Chicago)","Dallas","United","TX2482","$162.44","3.7h"
"ATL (Atlanta)","San Antonio","Delta","TX2483","$394.42","2.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2484","$163.42","4.3h"
"JFK (New York)","El Paso","Southwest","TX2485","$415.10","4.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2486","$327.23","4.8h"
"ORD (Chicago)","Corpus Christi","United","TX2487","$415.28","4.8h"
"ATL (Atlanta)","Plano","Delta","TX2488","$402.51","4.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX2489","$345.67","4.5h"
"JFK (New York)","Lubbock","Southwest","TX2490","$265.79","2.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX2491","$630.52","4.9h"
"ORD (Chicago)","Irving","United","TX2492","$330.75","3.6h"
"ATL (Atlanta)","Amarillo","Delta","TX2493","$603.52","3.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2494","$460.54","4.3h"
"JFK (New York)","Brownsville","Southwest","TX2495","$365.15","4.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2496","$371.38","2.5h"
"ORD (Chicago)","Frisco","United","TX2497","$476.09","3.2h"
"ATL (Atlanta)","Pasadena","Delta","TX2498","$397.79","2.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2499","$227.76","4.6h"
"JFK (New York)","Austin","Southwest","TX2500","$214.92","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX2501","$166.09","2.7h"
"ORD (Chicago)","Dallas","United","TX2502","$393.47","3.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2503","$266.37","3.7h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2504","$350.24","3.9h"
"JFK (New York)","El Paso","Southwest","TX2505","$475.66","4.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2506","$516.22","4.4h"
"ORD (Chicago)","Corpus Christi","United","TX2507","$169.02","3.7h"
"ATL (Atlanta)","Plano","Delta","TX2508","$584.50","4.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX2509","$377.88","4.4h"
"JFK (New York)","Lubbock","Southwest","TX2510","$380.39","4.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX2511","$419.93","2.1h"
"ORD (Chicago)","Irving","United","TX2512","$629.14","4.9h"
"ATL (Atlanta)","Amarillo","Delta","TX2513","$484.94","3.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2514","$288.78","2.1h"
"JFK (New York)","Brownsville","Southwest","TX2515","$498.34","4.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2516","$463.66","4.2h"
"ORD (Chicago)","Frisco","United","TX2517","$256.12","4.8h"
"ATL (Atlanta)","Pasadena","Delta","TX2518","$270.13","3.6h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2519","$231.13","2.6h"
"JFK (New York)","Austin","Southwest","TX2520","$292.63","2.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX2521","$339.10","3.7h"
"ORD (Chicago)","Dallas","United","TX2522","$388.05","2.3h"
"ATL (Atlanta)","San Antonio","Delta","TX2523","$541.64","3.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2524","$622.87","2.5h"
"JFK (New York)","El Paso","Southwest","TX2525","$388.18","4.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2526","$548.37","2.2h"
"ORD (Chicago)","Corpus Christi","United","TX2527","$225.62","2.7h"
"ATL (Atlanta)","Plano","Delta","TX2528","$485.59","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX2529","$430.81","4.1h"
"JFK (New York)","Lubbock","Southwest","TX2530","$391.44","2.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX2531","$549.72","4.5h"
"ORD (Chicago)","Irving","United","TX2532","$563.49","3.0h"
"ATL (Atlanta)","Amarillo","Delta","TX2533","$610.77","4.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2534","$471.62","3.7h"
"JFK (New York)","Brownsville","Southwest","TX2535","$197.08","3.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2536","$442.22","4.3h"
"ORD (Chicago)","Frisco","United","TX2537","$606.43","3.9h"
"ATL (Atlanta)","Pasadena","Delta","TX2538","$552.42","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2539","$341.22","2.5h"
"JFK (New York)","Austin","Southwest","TX2540","$171.26","3.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX2541","$290.29","3.2h"
"ORD (Chicago)","Dallas","United","TX2542","$221.02","3.5h"
"ATL (Atlanta)","San Antonio","Delta","TX2543","$508.52","2.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2544","$596.00","3.4h"
"JFK (New York)","El Paso","Southwest","TX2545","$470.42","4.9h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2546","$310.09","2.4h"
"ORD (Chicago)","Corpus Christi","United","TX2547","$553.08","4.2h"
"ATL (Atlanta)","Plano","Delta","TX2548","$303.43","3.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX2549","$366.65","3.0h"
"JFK (New York)","Lubbock","Southwest","TX2550","$299.51","4.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX2551","$323.38","2.2h"
"ORD (Chicago)","Irving","United","TX2552","$573.88","3.6h"
"ATL (Atlanta)","Amarillo","Delta","TX2553","$580.54","2.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2554","$497.59","2.2h"
"JFK (New York)","Brownsville","Southwest","TX2555","$491.11","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2556","$502.42","3.5h"
"ORD (Chicago)","Frisco","United","TX2557","$157.21","4.7h"
"ATL (Atlanta)","Pasadena","Delta","TX2558","$620.15","3.1h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2559","$412.18","4.6h"
"JFK (New York)","Austin","Southwest","TX2560","$484.65","2.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX2561","$231.65","3.4h"
"ORD (Chicago)","Dallas","United","TX2562","$207.80","2.5h"
"ATL (Atlanta)","San Antonio","Delta","TX2563","$600.66","5.0h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2564","$150.12","2.8h"
"JFK (New York)","El Paso","Southwest","TX2565","$633.66","3.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2566","$311.31","3.1h"
"ORD (Chicago)","Corpus Christi","United","TX2567","$175.14","2.7h"
"ATL (Atlanta)","Plano","Delta","TX2568","$573.18","3.6h"
"SFO (San Francisco)","Laredo","JetBlue","TX2569","$531.35","3.8h"
"JFK (New York)","Lubbock","Southwest","TX2570","$255.17","3.0h"
"LAX (Los Angeles)","Garland","American Airlines","TX2571","$426.58","4.3h"
"ORD (Chicago)","Irving","United","TX2572","$500.22","4.2h"
"ATL (Atlanta)","Amarillo","Delta","TX2573","$594.51","4.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2574","$645.88","3.2h"
"JFK (New York)","Brownsville","Southwest","TX2575","$594.55","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2576","$556.37","3.8h"
"ORD (Chicago)","Frisco","United","TX2577","$592.48","4.8h"
"ATL (Atlanta)","Pasadena","Delta","TX2578","$551.46","4.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2579","$247.07","4.4h"
"JFK (New York)","Austin","Southwest","TX2580","$155.95","4.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX2581","$606.33","3.0h"
"ORD (Chicago)","Dallas","United","TX2582","$564.75","3.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2583","$275.51","2.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2584","$585.61","3.3h"
"JFK (New York)","El Paso","Southwest","TX2585","$554.11","4.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2586","$542.37","4.2h"
"ORD (Chicago)","Corpus Christi","United","TX2587","$419.36","3.9h"
"ATL (Atlanta)","Plano","Delta","TX2588","$398.25","2.9h"
"SFO (San Francisco)","Laredo","JetBlue","TX2589","$568.59","3.1h"
"JFK (New York)","Lubbock","Southwest","TX2590","$624.93","4.0h"
"LAX (Los Angeles)","Garland","American Airlines","TX2591","$473.93","2.5h"
"ORD (Chicago)","Irving","United","TX2592","$519.50","2.9h"
"ATL (Atlanta)","Amarillo","Delta","TX2593","$191.09","3.3h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2594","$611.00","4.2h"
"JFK (New York)","Brownsville","Southwest","TX2595","$273.71","3.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2596","$181.22","4.4h"
"ORD (Chicago)","Frisco","United","TX2597","$366.74","5.0h"
"ATL (Atlanta)","Pasadena","Delta","TX2598","$508.83","2.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2599","$226.92","3.1h"
"JFK (New York)","Austin","Southwest","TX2600","$644.10","4.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX2601","$601.08","4.5h"
"ORD (Chicago)","Dallas","United","TX2602","$518.96","3.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2603","$388.80","3.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2604","$162.74","3.4h"
"JFK (New York)","El Paso","Southwest","TX2605","$192.06","5.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2606","$392.38","3.2h"
"ORD (Chicago)","Corpus Christi","United","TX2607","$572.09","4.2h"
"ATL (Atlanta)","Plano","Delta","TX2608","$489.85","4.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX2609","$249.31","3.9h"
"JFK (New York)","Lubbock","Southwest","TX2610","$297.32","4.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX2611","$603.74","2.9h"
"ORD (Chicago)","Irving","United","TX2612","$364.22","3.0h"
"ATL (Atlanta)","Amarillo","Delta","TX2613","$643.06","3.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2614","$586.72","2.3h"
"JFK (New York)","Brownsville","Southwest","TX2615","$304.09","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2616","$302.80","3.9h"
"ORD (Chicago)","Frisco","United","TX2617","$481.98","2.5h"
"ATL (Atlanta)","Pasadena","Delta","TX2618","$184.82","4.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2619","$538.76","2.5h"
"JFK (New York)","Austin","Southwest","TX2620","$593.95","3.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX2621","$564.06","3.9h"
"ORD (Chicago)","Dallas","United","TX2622","$412.98","4.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2623","$238.03","2.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2624","$586.14","2.9h"
"JFK (New York)","El Paso","Southwest","TX2625","$624.53","4.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2626","$550.07","4.4h"
"ORD (Chicago)","Corpus Christi","United","TX2627","$458.30","3.0h"
"ATL (Atlanta)","Plano","Delta","TX2628","$427.53","4.3h"
"SFO (San Francisco)","Laredo","JetBlue","TX2629","$542.67","3.4h"
"JFK (New York)","Lubbock","Southwest","TX2630","$642.44","3.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX2631","$519.62","3.3h"
"ORD (Chicago)","Irving","United","TX2632","$375.08","2.2h"
"ATL (Atlanta)","Amarillo","Delta","TX2633","$251.66","2.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2634","$568.84","3.8h"
"JFK (New York)","Brownsville","Southwest","TX2635","$578.36","4.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2636","$432.55","2.5h"
"ORD (Chicago)","Frisco","United","TX2637","$431.42","4.3h"
"ATL (Atlanta)","Pasadena","Delta","TX2638","$242.44","2.3h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2639","$195.00","4.1h"
"JFK (New York)","Austin","Southwest","TX2640","$591.25","4.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX2641","$359.53","3.2h"
"ORD (Chicago)","Dallas","United","TX2642","$442.48","4.2h"
"ATL (Atlanta)","San Antonio","Delta","TX2643","$286.28","3.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2644","$348.91","4.7h"
"JFK (New York)","El Paso","Southwest","TX2645","$549.09","2.9h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2646","$432.38","2.6h"
"ORD (Chicago)","Corpus Christi","United","TX2647","$222.80","4.4h"
"ATL (Atlanta)","Plano","Delta","TX2648","$172.47","4.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX2649","$386.75","3.8h"
"JFK (New York)","Lubbock","Southwest","TX2650","$229.55","3.5h"
"LAX (Los Angeles)","Garland","American Airlines","TX2651","$186.43","2.3h"
"ORD (Chicago)","Irving","United","TX2652","$503.75","3.6h"
"ATL (Atlanta)","Amarillo","Delta","TX2653","$609.03","2.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2654","$577.76","3.3h"
"JFK (New York)","Brownsville","Southwest","TX2655","$436.56","4.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX2656","$540.61","4.9h"
"ORD (Chicago)","Frisco","United","TX2657","$633.08","3.4h"
"ATL (Atlanta)","Pasadena","Delta","TX2658","$264.90","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX2659","$545.63","3.0h"
"JFK (New York)","Austin","Southwest","TX2660","$618.30","4.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX2661","$202.38","4.6h"
"ORD (Chicago)","Dallas","United","TX2662","$427.58","2.8h"
"ATL (Atlanta)","San Antonio","Delta","TX2663","$609.64","2.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX2664","$174.14","3.3h"
"JFK (New York)","El Paso","Southwest","TX2665","$270.90","4.9h"
"LAX (Los Angeles)","Arlington","American Airlines","TX2666","$541.44","2.4h"
"ORD (Chicago)","Corpus Christi","United","TX2667","$232.71","3.7h"
"ATL (Atlanta)","Plano","Delta","TX2668","$418.64","3.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX2669","$439.81","3.9h"
"JFK (New York)","Lubbock","Southwest","TX2670","$579.32","2.2h"
"LAX (Los Angeles)","Garland","American Airlines","TX2671","$320.18","2.7h"
"ORD (Chicago)","Irving","United","TX2672","$523.53","3.4h"
"ATL (Atlanta)","Amarillo","Delta","TX2673","$603.46","3.3h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX2674","$192.29","3.2h"
"JFK (New York)","Brownsville","Southwest","TX2675","$541.47","5.0h"
