"City","Name","Category","Rate","Amenities"
"McKinney","Magnolia Hotel McKinney #1956","Luxury","$268/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #1957","Budget","$351/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #1958","Boutique","$288/night","Spa, Bar"
"Mesquite","River Manor Mesquite #1959","Ranch","$267/night","Parking, Pets"
"Austin","Star Courtyard Austin #1960","Suites","$154/night","Pool, WiFi"
"Houston","Crest Suites Houston #1961","Inn","$463/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #1962","Luxury","$399/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #1963","Budget","$153/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #1964","Boutique","$134/night","Pool, WiFi"
"El Paso","River Manor El Paso #1965","Ranch","$214/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #1966","Suites","$340/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #1967","Inn","$318/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #1968","Luxury","$299/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #1969","Budget","$265/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #1970","Boutique","$190/night","Spa, Bar"
"Garland","River Manor Garland #1971","Ranch","$112/night","Parking, Pets"
"Irving","Star Courtyard Irving #1972","Suites","$305/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #1973","Inn","$387/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #1974","Luxury","$163/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #1975","Budget","$332/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #1976","Boutique","$359/night","Pool, WiFi"
"Frisco","River Manor Frisco #1977","Ranch","$351/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #1978","Suites","$242/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #1979","Inn","$75/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #1980","Luxury","$363/night","Pool, WiFi"
"Houston","Cactus Resort Houston #1981","Budget","$318/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #1982","Boutique","$365/night","Spa, Bar"
"San Antonio","River Manor San Antonio #1983","Ranch","$198/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #1984","Suites","$342/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #1985","Inn","$433/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #1986","Luxury","$214/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #1987","Budget","$458/night","Parking, Pets"
"Plano","Saddle Lodge Plano #1988","Boutique","$384/night","Pool, WiFi"
"Laredo","River Manor Laredo #1989","Ranch","$152/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #1990","Suites","$463/night","Spa, Bar"
"Garland","Crest Suites Garland #1991","Inn","$394/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #1992","Luxury","$420/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #1993","Budget","$402/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #1994","Boutique","$206/night","Spa, Bar"
"Brownsville","River Manor Brownsville #1995","Ranch","$343/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #1996","Suites","$431/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #1997","Inn","$133/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #1998","Luxury","$194/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #1999","Budget","$197/night","Parking, Pets"
"Austin","Saddle Lodge Austin #2000","Boutique","$350/night","Pool, WiFi"
"Houston","River Manor Houston #2001","Ranch","$362/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #2002","Suites","$326/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #2003","Inn","$449/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #2004","Luxury","$141/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #2005","Budget","$168/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #2006","Boutique","$281/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #2007","Ranch","$117/night","Parking, Pets"
"Plano","Star Courtyard Plano #2008","Suites","$336/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #2009","Inn","$288/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #2010","Luxury","$376/night","Spa, Bar"
"Garland","Cactus Resort Garland #2011","Budget","$203/night","Parking, Pets"
"Irving","Saddle Lodge Irving #2012","Boutique","$429/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #2013","Ranch","$289/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #2014","Suites","$397/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #2015","Inn","$468/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #2016","Luxury","$204/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #2017","Budget","$438/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #2018","Boutique","$101/night","Spa, Bar"
"Mesquite","River Manor Mesquite #2019","Ranch","$118/night","Parking, Pets"
"Austin","Star Courtyard Austin #2020","Suites","$73/night","Pool, WiFi"
"Houston","Crest Suites Houston #2021","Inn","$73/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #2022","Luxury","$285/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #2023","Budget","$366/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #2024","Boutique","$175/night","Pool, WiFi"
"El Paso","River Manor El Paso #2025","Ranch","$412/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #2026","Suites","$118/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #2027","Inn","$274/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #2028","Luxury","$111/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #2029","Budget","$200/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #2030","Boutique","$143/night","Spa, Bar"
"Garland","River Manor Garland #2031","Ranch","$124/night","Parking, Pets"
"Irving","Star Courtyard Irving #2032","Suites","$439/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #2033","Inn","$143/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #2034","Luxury","$156/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #2035","Budget","$465/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #2036","Boutique","$321/night","Pool, WiFi"
"Frisco","River Manor Frisco #2037","Ranch","$113/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #2038","Suites","$272/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #2039","Inn","$411/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #2040","Luxury","$134/night","Pool, WiFi"
"Houston","Cactus Resort Houston #2041","Budget","$154/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #2042","Boutique","$81/night","Spa, Bar"
"San Antonio","River Manor San Antonio #2043","Ranch","$99/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #2044","Suites","$386/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #2045","Inn","$467/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #2046","Luxury","$156/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #2047","Budget","$87/night","Parking, Pets"
"Plano","Saddle Lodge Plano #2048","Boutique","$156/night","Pool, WiFi"
"Laredo","River Manor Laredo #2049","Ranch","$243/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #2050","Suites","$177/night","Spa, Bar"
"Garland","Crest Suites Garland #2051","Inn","$381/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #2052","Luxury","$300/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #2053","Budget","$151/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #2054","Boutique","$100/night","Spa, Bar"
"Brownsville","River Manor Brownsville #2055","Ranch","$177/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #2056","Suites","$287/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #2057","Inn","$189/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #2058","Luxury","$132/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #2059","Budget","$306/night","Parking, Pets"
"Austin","Saddle Lodge Austin #2060","Boutique","$363/night","Pool, WiFi"
"Houston","River Manor Houston #2061","Ranch","$469/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #2062","Suites","$228/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #2063","Inn","$452/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #2064","Luxury","$198/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #2065","Budget","$329/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #2066","Boutique","$261/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #2067","Ranch","$255/night","Parking, Pets"
"Plano","Star Courtyard Plano #2068","Suites","$420/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #2069","Inn","$456/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #2070","Luxury","$217/night","Spa, Bar"
"Garland","Cactus Resort Garland #2071","Budget","$140/night","Parking, Pets"
"Irving","Saddle Lodge Irving #2072","Boutique","$196/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #2073","Ranch","$72/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #2074","Suites","$186/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #2075","Inn","$262/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #2076","Luxury","$210/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #2077","Budget","$351/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #2078","Boutique","$399/night","Spa, Bar"
"Mesquite","River Manor Mesquite #2079","Ranch","$448/night","Parking, Pets"
"Austin","Star Courtyard Austin #2080","Suites","$156/night","Pool, WiFi"
"Houston","Crest Suites Houston #2081","Inn","$407/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #2082","Luxury","$395/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #2083","Budget","$320/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #2084","Boutique","$247/night","Pool, WiFi"
"El Paso","River Manor El Paso #2085","Ranch","$344/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #2086","Suites","$310/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #2087","Inn","$295/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #2088","Luxury","$360/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #2089","Budget","$132/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #2090","Boutique","$192/night","Spa, Bar"
"Garland","River Manor Garland #2091","Ranch","$217/night","Parking, Pets"
"Irving","Star Courtyard Irving #2092","Suites","$374/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #2093","Inn","$411/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #2094","Luxury","$442/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #2095","Budget","$123/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #2096","Boutique","$268/night","Pool, WiFi"
"Frisco","River Manor Frisco #2097","Ranch","$237/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #2098","Suites","$402/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #2099","Inn","$372/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #2100","Luxury","$354/night","Pool, WiFi"
"Houston","Cactus Resort Houston #2101","Budget","$89/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #2102","Boutique","$183/night","Spa, Bar"
"San Antonio","River Manor San Antonio #2103","Ranch","$92/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #2104","Suites","$260/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #2105","Inn","$177/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #2106","Luxury","$254/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #2107","Budget","$274/night","Parking, Pets"
"Plano","Saddle Lodge Plano #2108","Boutique","$277/night","Pool, WiFi"
"Laredo","River Manor Laredo #2109","Ranch","$447/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #2110","Suites","$111/night","Spa, Bar"
"Garland","Crest Suites Garland #2111","Inn","$282/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #2112","Luxury","$144/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #2113","Budget","$374/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #2114","Boutique","$311/night","Spa, Bar"
"Brownsville","River Manor Brownsville #2115","Ranch","$161/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #2116","Suites","$118/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #2117","Inn","$177/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #2118","Luxury","$297/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #2119","Budget","$150/night","Parking, Pets"
"Austin","Saddle Lodge Austin #2120","Boutique","$306/night","Pool, WiFi"
"Houston","River Manor Houston #2121","Ranch","$448/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #2122","Suites","$380/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #2123","Inn","$378/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #2124","Luxury","$319/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #2125","Budget","$407/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #2126","Boutique","$469/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #2127","Ranch","$233/night","Parking, Pets"
"Plano","Star Courtyard Plano #2128","Suites","$196/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #2129","Inn","$401/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #2130","Luxury","$215/night","Spa, Bar"
"Garland","Cactus Resort Garland #2131","Budget","$140/night","Parking, Pets"
"Irving","Saddle Lodge Irving #2132","Boutique","$304/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #2133","Ranch","$426/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #2134","Suites","$410/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #2135","Inn","$282/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #2136","Luxury","$274/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #2137","Budget","$343/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #2138","Boutique","$302/night","Spa, Bar"
"Mesquite","River Manor Mesquite #2139","Ranch","$362/night","Parking, Pets"
"Austin","Star Courtyard Austin #2140","Suites","$248/night","Pool, WiFi"
"Houston","Crest Suites Houston #2141","Inn","$281/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #2142","Luxury","$442/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #2143","Budget","$238/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #2144","Boutique","$123/night","Pool, WiFi"
"El Paso","River Manor El Paso #2145","Ranch","$344/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #2146","Suites","$281/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #2147","Inn","$73/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #2148","Luxury","$359/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #2149","Budget","$275/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #2150","Boutique","$372/night","Spa, Bar"
"Garland","River Manor Garland #2151","Ranch","$470/night","Parking, Pets"
"Irving","Star Courtyard Irving #2152","Suites","$226/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #2153","Inn","$89/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #2154","Luxury","$325/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #2155","Budget","$132/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #2156","Boutique","$90/night","Pool, WiFi"
"Frisco","River Manor Frisco #2157","Ranch","$413/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #2158","Suites","$260/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #2159","Inn","$317/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #2160","Luxury","$193/night","Pool, WiFi"
"Houston","Cactus Resort Houston #2161","Budget","$169/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #2162","Boutique","$93/night","Spa, Bar"
"San Antonio","River Manor San Antonio #2163","Ranch","$106/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #2164","Suites","$329/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #2165","Inn","$256/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #2166","Luxury","$156/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #2167","Budget","$338/night","Parking, Pets"
"Plano","Saddle Lodge Plano #2168","Boutique","$360/night","Pool, WiFi"
"Laredo","River Manor Laredo #2169","Ranch","$251/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #2170","Suites","$348/night","Spa, Bar"
"Garland","Crest Suites Garland #2171","Inn","$322/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #2172","Luxury","$201/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #2173","Budget","$338/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #2174","Boutique","$430/night","Spa, Bar"
"Brownsville","River Manor Brownsville #2175","Ranch","$214/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #2176","Suites","$165/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #2177","Inn","$247/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #2178","Luxury","$77/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #2179","Budget","$380/night","Parking, Pets"
"Austin","Saddle Lodge Austin #2180","Boutique","$335/night","Pool, WiFi"
"Houston","River Manor Houston #2181","Ranch","$92/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #2182","Suites","$461/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #2183","Inn","$169/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #2184","Luxury","$141/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #2185","Budget","$423/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #2186","Boutique","$116/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #2187","Ranch","$213/night","Parking, Pets"
"Plano","Star Courtyard Plano #2188","Suites","$366/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #2189","Inn","$191/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #2190","Luxury","$423/night","Spa, Bar"
"Garland","Cactus Resort Garland #2191","Budget","$300/night","Parking, Pets"
"Irving","Saddle Lodge Irving #2192","Boutique","$433/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #2193","Ranch","$122/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #2194","Suites","$311/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #2195","Inn","$148/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #2196","Luxury","$415/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #2197","Budget","$339/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #2198","Boutique","$248/night","Spa, Bar"
"Mesquite","River Manor Mesquite #2199","Ranch","$147/night","Parking, Pets"
"Austin","Star Courtyard Austin #2200","Suites","$96/night","Pool, WiFi"
"Houston","Crest Suites Houston #2201","Inn","$343/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #2202","Luxury","$378/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #2203","Budget","$192/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #2204","Boutique","$417/night","Pool, WiFi"
"El Paso","River Manor El Paso #2205","Ranch","$462/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #2206","Suites","$355/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #2207","Inn","$401/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #2208","Luxury","$354/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #2209","Budget","$208/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #2210","Boutique","$187/night","Spa, Bar"
"Garland","River Manor Garland #2211","Ranch","$204/night","Parking, Pets"
"Irving","Star Courtyard Irving #2212","Suites","$447/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #2213","Inn","$412/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #2214","Luxury","$147/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #2215","Budget","$395/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #2216","Boutique","$117/night","Pool, WiFi"
"Frisco","River Manor Frisco #2217","Ranch","$159/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #2218","Suites","$277/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #2219","Inn","$333/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #2220","Luxury","$389/night","Pool, WiFi"
"Houston","Cactus Resort Houston #2221","Budget","$357/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #2222","Boutique","$384/night","Spa, Bar"
"San Antonio","River Manor San Antonio #2223","Ranch","$317/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #2224","Suites","$192/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #2225","Inn","$405/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #2226","Luxury","$93/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #2227","Budget","$191/night","Parking, Pets"
"Plano","Saddle Lodge Plano #2228","Boutique","$381/night","Pool, WiFi"
"Laredo","River Manor Laredo #2229","Ranch","$286/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #2230","Suites","$114/night","Spa, Bar"
"Garland","Crest Suites Garland #2231","Inn","$110/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #2232","Luxury","$319/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #2233","Budget","$444/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #2234","Boutique","$342/night","Spa, Bar"
"Brownsville","River Manor Brownsville #2235","Ranch","$190/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #2236","Suites","$303/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #2237","Inn","$430/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #2238","Luxury","$362/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #2239","Budget","$456/night","Parking, Pets"
"Austin","Saddle Lodge Austin #2240","Boutique","$282/night","Pool, WiFi"
"Houston","River Manor Houston #2241","Ranch","$448/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #2242","Suites","$418/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #2243","Inn","$436/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #2244","Luxury","$461/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #2245","Budget","$301/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #2246","Boutique","$132/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #2247","Ranch","$97/night","Parking, Pets"
"Plano","Star Courtyard Plano #2248","Suites","$444/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #2249","Inn","$241/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #2250","Luxury","$75/night","Spa, Bar"
"Garland","Cactus Resort Garland #2251","Budget","$445/night","Parking, Pets"
"Irving","Saddle Lodge Irving #2252","Boutique","$462/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #2253","Ranch","$373/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #2254","Suites","$440/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #2255","Inn","$338/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #2256","Luxury","$197/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #2257","Budget","$162/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #2258","Boutique","$204/night","Spa, Bar"
"Mesquite","River Manor Mesquite #2259","Ranch","$233/night","Parking, Pets"
"Austin","Star Courtyard Austin #2260","Suites","$251/night","Pool, WiFi"
"Houston","Crest Suites Houston #2261","Inn","$308/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #2262","Luxury","$91/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #2263","Budget","$375/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #2264","Boutique","$436/night","Pool, WiFi"
"El Paso","River Manor El Paso #2265","Ranch","$169/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #2266","Suites","$95/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #2267","Inn","$249/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #2268","Luxury","$183/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #2269","Budget","$291/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #2270","Boutique","$94/night","Spa, Bar"
"Garland","River Manor Garland #2271","Ranch","$443/night","Parking, Pets"
"Irving","Star Courtyard Irving #2272","Suites","$162/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #2273","Inn","$418/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #2274","Luxury","$198/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #2275","Budget","$450/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #2276","Boutique","$408/night","Pool, WiFi"
"Frisco","River Manor Frisco #2277","Ranch","$261/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #2278","Suites","$319/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #2279","Inn","$218/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #2280","Luxury","$201/night","Pool, WiFi"
"Houston","Cactus Resort Houston #2281","Budget","$215/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #2282","Boutique","$262/night","Spa, Bar"
"San Antonio","River Manor San Antonio #2283","Ranch","$452/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #2284","Suites","$276/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #2285","Inn","$456/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #2286","Luxury","$399/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #2287","Budget","$139/night","Parking, Pets"
"Plano","Saddle Lodge Plano #2288","Boutique","$207/night","Pool, WiFi"
"Laredo","River Manor Laredo #2289","Ranch","$80/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #2290","Suites","$174/night","Spa, Bar"
"Garland","Crest Suites Garland #2291","Inn","$199/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #2292","Luxury","$190/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #2293","Budget","$216/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #2294","Boutique","$131/night","Spa, Bar"
"Brownsville","River Manor Brownsville #2295","Ranch","$394/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #2296","Suites","$241/night","Pool, WiFi"
