"City","Name","Category","Price","Rating"
"Fort Worth","Alamo Smokehouse of Fort Worth #1864","Southern","$","3.9"
"El Paso","Pecos Table of El Paso #1865","Bistro","$$","4.7"
"Arlington","Lone Star Pit of Arlington #1866","BBQ","$$$","3.7"
"Corpus Christi","Big Tex Grill of Corpus Christi #1867","Tex-Mex","$$$$","4.9"
"Plano","Blue Bonnet Kitchen of Plano #1868","Steakhouse","$","3.5"
"Laredo","Yellow Rose Taqueria of Laredo #1869","Seafood","$$","3.9"
"Lubbock","Alamo Smokehouse of Lubbock #1870","Southern","$$$","4.7"
"Garland","Pecos Table of Garland #1871","Bistro","$$$$","4.2"
"Irving","Lone Star Pit of Irving #1872","BBQ","$","5.0"
"Amarillo","Big Tex Grill of Amarillo #1873","Tex-Mex","$$","4.1"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #1874","Steakhouse","$$$","4.7"
"Brownsville","Yellow Rose Taqueria of Brownsville #1875","Seafood","$$$$","4.6"
"McKinney","Alamo Smokehouse of McKinney #1876","Southern","$","3.8"
"Frisco","Pecos Table of Frisco #1877","Bistro","$$","4.8"
"Pasadena","Lone Star Pit of Pasadena #1878","BBQ","$$$","4.4"
"Mesquite","Big Tex Grill of Mesquite #1879","Tex-Mex","$$$$","4.7"
"Austin","Blue Bonnet Kitchen of Austin #1880","Steakhouse","$","4.5"
"Houston","Yellow Rose Taqueria of Houston #1881","Seafood","$$","4.5"
"Dallas","Alamo Smokehouse of Dallas #1882","Southern","$$$","4.8"
"San Antonio","Pecos Table of San Antonio #1883","Bistro","$$$$","4.7"
"Fort Worth","Lone Star Pit of Fort Worth #1884","BBQ","$","3.7"
"El Paso","Big Tex Grill of El Paso #1885","Tex-Mex","$$","3.8"
"Arlington","Blue Bonnet Kitchen of Arlington #1886","Steakhouse","$$$","3.8"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #1887","Seafood","$$$$","4.5"
"Plano","Alamo Smokehouse of Plano #1888","Southern","$","4.5"
"Laredo","Pecos Table of Laredo #1889","Bistro","$$","3.8"
"Lubbock","Lone Star Pit of Lubbock #1890","BBQ","$$$","4.4"
"Garland","Big Tex Grill of Garland #1891","Tex-Mex","$$$$","4.6"
"Irving","Blue Bonnet Kitchen of Irving #1892","Steakhouse","$","4.6"
"Amarillo","Yellow Rose Taqueria of Amarillo #1893","Seafood","$$","4.6"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #1894","Southern","$$$","4.7"
"Brownsville","Pecos Table of Brownsville #1895","Bistro","$$$$","4.6"
"McKinney","Lone Star Pit of McKinney #1896","BBQ","$","3.8"
"Frisco","Big Tex Grill of Frisco #1897","Tex-Mex","$$","4.5"
"Pasadena","Blue Bonnet Kitchen of Pasadena #1898","Steakhouse","$$$","4.0"
"Mesquite","Yellow Rose Taqueria of Mesquite #1899","Seafood","$$$$","3.6"
"Austin","Alamo Smokehouse of Austin #1900","Southern","$","4.0"
"Houston","Pecos Table of Houston #1901","Bistro","$$","5.0"
"Dallas","Lone Star Pit of Dallas #1902","BBQ","$$$","4.3"
"San Antonio","Big Tex Grill of San Antonio #1903","Tex-Mex","$$$$","4.1"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #1904","Steakhouse","$","3.5"
"El Paso","Yellow Rose Taqueria of El Paso #1905","Seafood","$$","4.2"
"Arlington","Alamo Smokehouse of Arlington #1906","Southern","$$$","3.9"
"Corpus Christi","Pecos Table of Corpus Christi #1907","Bistro","$$$$","3.6"
"Plano","Lone Star Pit of Plano #1908","BBQ","$","4.6"
"Laredo","Big Tex Grill of Laredo #1909","Tex-Mex","$$","3.9"
"Lubbock","Blue Bonnet Kitchen of Lubbock #1910","Steakhouse","$$$","3.9"
"Garland","Yellow Rose Taqueria of Garland #1911","Seafood","$$$$","4.7"
"Irving","Alamo Smokehouse of Irving #1912","Southern","$","4.4"
"Amarillo","Pecos Table of Amarillo #1913","Bistro","$$","3.9"
"Grand Prairie","Lone Star Pit of Grand Prairie #1914","BBQ","$$$","3.9"
"Brownsville","Big Tex Grill of Brownsville #1915","Tex-Mex","$$$$","3.6"
"McKinney","Blue Bonnet Kitchen of McKinney #1916","Steakhouse","$","4.3"
"Frisco","Yellow Rose Taqueria of Frisco #1917","Seafood","$$","3.9"
"Pasadena","Alamo Smokehouse of Pasadena #1918","Southern","$$$","4.2"
"Mesquite","Pecos Table of Mesquite #1919","Bistro","$$$$","3.9"
"Austin","Lone Star Pit of Austin #1920","BBQ","$","3.6"
"Houston","Big Tex Grill of Houston #1921","Tex-Mex","$$","3.9"
"Dallas","Blue Bonnet Kitchen of Dallas #1922","Steakhouse","$$$","3.7"
"San Antonio","Yellow Rose Taqueria of San Antonio #1923","Seafood","$$$$","4.3"
"Fort Worth","Alamo Smokehouse of Fort Worth #1924","Southern","$","3.5"
"El Paso","Pecos Table of El Paso #1925","Bistro","$$","4.3"
"Arlington","Lone Star Pit of Arlington #1926","BBQ","$$$","3.5"
"Corpus Christi","Big Tex Grill of Corpus Christi #1927","Tex-Mex","$$$$","4.9"
"Plano","Blue Bonnet Kitchen of Plano #1928","Steakhouse","$","4.5"
"Laredo","Yellow Rose Taqueria of Laredo #1929","Seafood","$$","4.5"
"Lubbock","Alamo Smokehouse of Lubbock #1930","Southern","$$$","4.6"
"Garland","Pecos Table of Garland #1931","Bistro","$$$$","4.6"
"Irving","Lone Star Pit of Irving #1932","BBQ","$","3.5"
"Amarillo","Big Tex Grill of Amarillo #1933","Tex-Mex","$$","3.9"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #1934","Steakhouse","$$$","3.7"
"Brownsville","Yellow Rose Taqueria of Brownsville #1935","Seafood","$$$$","4.9"
"McKinney","Alamo Smokehouse of McKinney #1936","Southern","$","3.5"
"Frisco","Pecos Table of Frisco #1937","Bistro","$$","4.8"
"Pasadena","Lone Star Pit of Pasadena #1938","BBQ","$$$","3.5"
"Mesquite","Big Tex Grill of Mesquite #1939","Tex-Mex","$$$$","4.2"
"Austin","Blue Bonnet Kitchen of Austin #1940","Steakhouse","$","4.9"
"Houston","Yellow Rose Taqueria of Houston #1941","Seafood","$$","4.7"
"Dallas","Alamo Smokehouse of Dallas #1942","Southern","$$$","5.0"
"San Antonio","Pecos Table of San Antonio #1943","Bistro","$$$$","3.9"
"Fort Worth","Lone Star Pit of Fort Worth #1944","BBQ","$","3.5"
"El Paso","Big Tex Grill of El Paso #1945","Tex-Mex","$$","5.0"
"Arlington","Blue Bonnet Kitchen of Arlington #1946","Steakhouse","$$$","3.6"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #1947","Seafood","$$$$","4.3"
"Plano","Alamo Smokehouse of Plano #1948","Southern","$","4.7"
"Laredo","Pecos Table of Laredo #1949","Bistro","$$","4.2"
"Lubbock","Lone Star Pit of Lubbock #1950","BBQ","$$$","4.6"
"Garland","Big Tex Grill of Garland #1951","Tex-Mex","$$$$","4.3"
"Irving","Blue Bonnet Kitchen of Irving #1952","Steakhouse","$","3.9"
"Amarillo","Yellow Rose Taqueria of Amarillo #1953","Seafood","$$","5.0"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #1954","Southern","$$$","3.9"
"Brownsville","Pecos Table of Brownsville #1955","Bistro","$$$$","4.7"
"McKinney","Lone Star Pit of McKinney #1956","BBQ","$","3.9"
"Frisco","Big Tex Grill of Frisco #1957","Tex-Mex","$$","3.6"
"Pasadena","Blue Bonnet Kitchen of Pasadena #1958","Steakhouse","$$$","4.7"
"Mesquite","Yellow Rose Taqueria of Mesquite #1959","Seafood","$$$$","4.0"
"Austin","Alamo Smokehouse of Austin #1960","Southern","$","4.5"
"Houston","Pecos Table of Houston #1961","Bistro","$$","3.7"
"Dallas","Lone Star Pit of Dallas #1962","BBQ","$$$","4.5"
"San Antonio","Big Tex Grill of San Antonio #1963","Tex-Mex","$$$$","4.1"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #1964","Steakhouse","$","4.4"
"El Paso","Yellow Rose Taqueria of El Paso #1965","Seafood","$$","4.6"
"Arlington","Alamo Smokehouse of Arlington #1966","Southern","$$$","4.4"
"Corpus Christi","Pecos Table of Corpus Christi #1967","Bistro","$$$$","4.9"
"Plano","Lone Star Pit of Plano #1968","BBQ","$","4.7"
"Laredo","Big Tex Grill of Laredo #1969","Tex-Mex","$$","4.0"
"Lubbock","Blue Bonnet Kitchen of Lubbock #1970","Steakhouse","$$$","3.8"
"Garland","Yellow Rose Taqueria of Garland #1971","Seafood","$$$$","4.2"
"Irving","Alamo Smokehouse of Irving #1972","Southern","$","3.9"
"Amarillo","Pecos Table of Amarillo #1973","Bistro","$$","4.8"
"Grand Prairie","Lone Star Pit of Grand Prairie #1974","BBQ","$$$","4.8"
"Brownsville","Big Tex Grill of Brownsville #1975","Tex-Mex","$$$$","3.7"
"McKinney","Blue Bonnet Kitchen of McKinney #1976","Steakhouse","$","3.6"
"Frisco","Yellow Rose Taqueria of Frisco #1977","Seafood","$$","4.0"
"Pasadena","Alamo Smokehouse of Pasadena #1978","Southern","$$$","3.9"
"Mesquite","Pecos Table of Mesquite #1979","Bistro","$$$$","3.7"
"Austin","Lone Star Pit of Austin #1980","BBQ","$","4.1"
"Houston","Big Tex Grill of Houston #1981","Tex-Mex","$$","4.8"
"Dallas","Blue Bonnet Kitchen of Dallas #1982","Steakhouse","$$$","4.3"
"San Antonio","Yellow Rose Taqueria of San Antonio #1983","Seafood","$$$$","4.1"
"Fort Worth","Alamo Smokehouse of Fort Worth #1984","Southern","$","4.0"
"El Paso","Pecos Table of El Paso #1985","Bistro","$$","3.9"
"Arlington","Lone Star Pit of Arlington #1986","BBQ","$$$","4.6"
"Corpus Christi","Big Tex Grill of Corpus Christi #1987","Tex-Mex","$$$$","3.8"
"Plano","Blue Bonnet Kitchen of Plano #1988","Steakhouse","$","4.0"
"Laredo","Yellow Rose Taqueria of Laredo #1989","Seafood","$$","3.9"
"Lubbock","Alamo Smokehouse of Lubbock #1990","Southern","$$$","4.0"
"Garland","Pecos Table of Garland #1991","Bistro","$$$$","4.3"
"Irving","Lone Star Pit of Irving #1992","BBQ","$","4.7"
"Amarillo","Big Tex Grill of Amarillo #1993","Tex-Mex","$$","4.8"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #1994","Steakhouse","$$$","4.2"
"Brownsville","Yellow Rose Taqueria of Brownsville #1995","Seafood","$$$$","3.9"
"McKinney","Alamo Smokehouse of McKinney #1996","Southern","$","4.0"
"Frisco","Pecos Table of Frisco #1997","Bistro","$$","4.6"
"Pasadena","Lone Star Pit of Pasadena #1998","BBQ","$$$","3.9"
"Mesquite","Big Tex Grill of Mesquite #1999","Tex-Mex","$$$$","4.4"
"Austin","Blue Bonnet Kitchen of Austin #2000","Steakhouse","$","4.9"
"Houston","Yellow Rose Taqueria of Houston #2001","Seafood","$$","3.9"
"Dallas","Alamo Smokehouse of Dallas #2002","Southern","$$$","4.5"
"San Antonio","Pecos Table of San Antonio #2003","Bistro","$$$$","4.8"
"Fort Worth","Lone Star Pit of Fort Worth #2004","BBQ","$","3.9"
"El Paso","Big Tex Grill of El Paso #2005","Tex-Mex","$$","3.7"
"Arlington","Blue Bonnet Kitchen of Arlington #2006","Steakhouse","$$$","4.2"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #2007","Seafood","$$$$","3.9"
"Plano","Alamo Smokehouse of Plano #2008","Southern","$","4.4"
"Laredo","Pecos Table of Laredo #2009","Bistro","$$","4.7"
"Lubbock","Lone Star Pit of Lubbock #2010","BBQ","$$$","3.6"
"Garland","Big Tex Grill of Garland #2011","Tex-Mex","$$$$","4.5"
"Irving","Blue Bonnet Kitchen of Irving #2012","Steakhouse","$","4.4"
"Amarillo","Yellow Rose Taqueria of Amarillo #2013","Seafood","$$","3.9"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #2014","Southern","$$$","3.8"
"Brownsville","Pecos Table of Brownsville #2015","Bistro","$$$$","5.0"
"McKinney","Lone Star Pit of McKinney #2016","BBQ","$","4.6"
"Frisco","Big Tex Grill of Frisco #2017","Tex-Mex","$$","4.1"
"Pasadena","Blue Bonnet Kitchen of Pasadena #2018","Steakhouse","$$$","4.5"
"Mesquite","Yellow Rose Taqueria of Mesquite #2019","Seafood","$$$$","3.9"
"Austin","Alamo Smokehouse of Austin #2020","Southern","$","4.2"
"Houston","Pecos Table of Houston #2021","Bistro","$$","4.0"
"Dallas","Lone Star Pit of Dallas #2022","BBQ","$$$","4.7"
"San Antonio","Big Tex Grill of San Antonio #2023","Tex-Mex","$$$$","4.3"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #2024","Steakhouse","$","3.8"
"El Paso","Yellow Rose Taqueria of El Paso #2025","Seafood","$$","4.5"
"Arlington","Alamo Smokehouse of Arlington #2026","Southern","$$$","4.6"
"Corpus Christi","Pecos Table of Corpus Christi #2027","Bistro","$$$$","4.3"
"Plano","Lone Star Pit of Plano #2028","BBQ","$","4.7"
"Laredo","Big Tex Grill of Laredo #2029","Tex-Mex","$$","4.4"
"Lubbock","Blue Bonnet Kitchen of Lubbock #2030","Steakhouse","$$$","3.5"
"Garland","Yellow Rose Taqueria of Garland #2031","Seafood","$$$$","4.6"
"Irving","Alamo Smokehouse of Irving #2032","Southern","$","4.9"
"Amarillo","Pecos Table of Amarillo #2033","Bistro","$$","4.4"
"Grand Prairie","Lone Star Pit of Grand Prairie #2034","BBQ","$$$","4.5"
"Brownsville","Big Tex Grill of Brownsville #2035","Tex-Mex","$$$$","4.8"
"McKinney","Blue Bonnet Kitchen of McKinney #2036","Steakhouse","$","3.6"
"Frisco","Yellow Rose Taqueria of Frisco #2037","Seafood","$$","4.0"
"Pasadena","Alamo Smokehouse of Pasadena #2038","Southern","$$$","4.1"
"Mesquite","Pecos Table of Mesquite #2039","Bistro","$$$$","4.9"
"Austin","Lone Star Pit of Austin #2040","BBQ","$","4.4"
"Houston","Big Tex Grill of Houston #2041","Tex-Mex","$$","3.8"
"Dallas","Blue Bonnet Kitchen of Dallas #2042","Steakhouse","$$$","4.0"
"San Antonio","Yellow Rose Taqueria of San Antonio #2043","Seafood","$$$$","4.3"
"Fort Worth","Alamo Smokehouse of Fort Worth #2044","Southern","$","3.5"
"El Paso","Pecos Table of El Paso #2045","Bistro","$$","4.7"
"Arlington","Lone Star Pit of Arlington #2046","BBQ","$$$","4.7"
"Corpus Christi","Big Tex Grill of Corpus Christi #2047","Tex-Mex","$$$$","5.0"
"Plano","Blue Bonnet Kitchen of Plano #2048","Steakhouse","$","4.2"
"Laredo","Yellow Rose Taqueria of Laredo #2049","Seafood","$$","4.6"
"Lubbock","Alamo Smokehouse of Lubbock #2050","Southern","$$$","3.8"
"Garland","Pecos Table of Garland #2051","Bistro","$$$$","4.4"
"Irving","Lone Star Pit of Irving #2052","BBQ","$","4.7"
"Amarillo","Big Tex Grill of Amarillo #2053","Tex-Mex","$$","4.7"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #2054","Steakhouse","$$$","5.0"
"Brownsville","Yellow Rose Taqueria of Brownsville #2055","Seafood","$$$$","4.0"
"McKinney","Alamo Smokehouse of McKinney #2056","Southern","$","4.8"
"Frisco","Pecos Table of Frisco #2057","Bistro","$$","4.2"
"Pasadena","Lone Star Pit of Pasadena #2058","BBQ","$$$","4.8"
"Mesquite","Big Tex Grill of Mesquite #2059","Tex-Mex","$$$$","4.2"
"Austin","Blue Bonnet Kitchen of Austin #2060","Steakhouse","$","4.6"
"Houston","Yellow Rose Taqueria of Houston #2061","Seafood","$$","4.5"
"Dallas","Alamo Smokehouse of Dallas #2062","Southern","$$$","4.6"
"San Antonio","Pecos Table of San Antonio #2063","Bistro","$$$$","4.4"
"Fort Worth","Lone Star Pit of Fort Worth #2064","BBQ","$","3.7"
"El Paso","Big Tex Grill of El Paso #2065","Tex-Mex","$$","3.6"
"Arlington","Blue Bonnet Kitchen of Arlington #2066","Steakhouse","$$$","4.9"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #2067","Seafood","$$$$","4.9"
"Plano","Alamo Smokehouse of Plano #2068","Southern","$","3.7"
"Laredo","Pecos Table of Laredo #2069","Bistro","$$","4.7"
"Lubbock","Lone Star Pit of Lubbock #2070","BBQ","$$$","3.8"
"Garland","Big Tex Grill of Garland #2071","Tex-Mex","$$$$","4.1"
"Irving","Blue Bonnet Kitchen of Irving #2072","Steakhouse","$","4.0"
"Amarillo","Yellow Rose Taqueria of Amarillo #2073","Seafood","$$","3.7"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #2074","Southern","$$$","4.4"
"Brownsville","Pecos Table of Brownsville #2075","Bistro","$$$$","4.6"
"McKinney","Lone Star Pit of McKinney #2076","BBQ","$","4.4"
"Frisco","Big Tex Grill of Frisco #2077","Tex-Mex","$$","5.0"
"Pasadena","Blue Bonnet Kitchen of Pasadena #2078","Steakhouse","$$$","3.8"
"Mesquite","Yellow Rose Taqueria of Mesquite #2079","Seafood","$$$$","4.5"
"Austin","Alamo Smokehouse of Austin #2080","Southern","$","3.8"
"Houston","Pecos Table of Houston #2081","Bistro","$$","4.2"
"Dallas","Lone Star Pit of Dallas #2082","BBQ","$$$","4.3"
"San Antonio","Big Tex Grill of San Antonio #2083","Tex-Mex","$$$$","4.3"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #2084","Steakhouse","$","4.2"
"El Paso","Yellow Rose Taqueria of El Paso #2085","Seafood","$$","4.4"
"Arlington","Alamo Smokehouse of Arlington #2086","Southern","$$$","4.3"
"Corpus Christi","Pecos Table of Corpus Christi #2087","Bistro","$$$$","4.0"
"Plano","Lone Star Pit of Plano #2088","BBQ","$","4.6"
"Laredo","Big Tex Grill of Laredo #2089","Tex-Mex","$$","4.2"
"Lubbock","Blue Bonnet Kitchen of Lubbock #2090","Steakhouse","$$$","4.5"
"Garland","Yellow Rose Taqueria of Garland #2091","Seafood","$$$$","4.3"
"Irving","Alamo Smokehouse of Irving #2092","Southern","$","4.7"
"Amarillo","Pecos Table of Amarillo #2093","Bistro","$$","3.7"
"Grand Prairie","Lone Star Pit of Grand Prairie #2094","BBQ","$$$","3.5"
"Brownsville","Big Tex Grill of Brownsville #2095","Tex-Mex","$$$$","4.2"
"McKinney","Blue Bonnet Kitchen of McKinney #2096","Steakhouse","$","4.8"
"Frisco","Yellow Rose Taqueria of Frisco #2097","Seafood","$$","3.6"
"Pasadena","Alamo Smokehouse of Pasadena #2098","Southern","$$$","4.8"
"Mesquite","Pecos Table of Mesquite #2099","Bistro","$$$$","4.7"
"Austin","Lone Star Pit of Austin #2100","BBQ","$","4.0"
"Houston","Big Tex Grill of Houston #2101","Tex-Mex","$$","3.9"
"Dallas","Blue Bonnet Kitchen of Dallas #2102","Steakhouse","$$$","4.6"
"San Antonio","Yellow Rose Taqueria of San Antonio #2103","Seafood","$$$$","4.9"
"Fort Worth","Alamo Smokehouse of Fort Worth #2104","Southern","$","4.2"
"El Paso","Pecos Table of El Paso #2105","Bistro","$$","3.7"
"Arlington","Lone Star Pit of Arlington #2106","BBQ","$$$","4.2"
"Corpus Christi","Big Tex Grill of Corpus Christi #2107","Tex-Mex","$$$$","5.0"
"Plano","Blue Bonnet Kitchen of Plano #2108","Steakhouse","$","4.3"
"Laredo","Yellow Rose Taqueria of Laredo #2109","Seafood","$$","4.1"
"Lubbock","Alamo Smokehouse of Lubbock #2110","Southern","$$$","4.7"
"Garland","Pecos Table of Garland #2111","Bistro","$$$$","4.8"
"Irving","Lone Star Pit of Irving #2112","BBQ","$","4.9"
"Amarillo","Big Tex Grill of Amarillo #2113","Tex-Mex","$$","4.9"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #2114","Steakhouse","$$$","4.9"
"Brownsville","Yellow Rose Taqueria of Brownsville #2115","Seafood","$$$$","3.8"
"McKinney","Alamo Smokehouse of McKinney #2116","Southern","$","4.9"
"Frisco","Pecos Table of Frisco #2117","Bistro","$$","4.2"
"Pasadena","Lone Star Pit of Pasadena #2118","BBQ","$$$","4.7"
"Mesquite","Big Tex Grill of Mesquite #2119","Tex-Mex","$$$$","4.4"
"Austin","Blue Bonnet Kitchen of Austin #2120","Steakhouse","$","3.9"
"Houston","Yellow Rose Taqueria of Houston #2121","Seafood","$$","3.9"
"Dallas","Alamo Smokehouse of Dallas #2122","Southern","$$$","3.6"
"San Antonio","Pecos Table of San Antonio #2123","Bistro","$$$$","4.5"
"Fort Worth","Lone Star Pit of Fort Worth #2124","BBQ","$","4.7"
"El Paso","Big Tex Grill of El Paso #2125","Tex-Mex","$$","4.4"
"Arlington","Blue Bonnet Kitchen of Arlington #2126","Steakhouse","$$$","5.0"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #2127","Seafood","$$$$","3.5"
"Plano","Alamo Smokehouse of Plano #2128","Southern","$","4.8"
"Laredo","Pecos Table of Laredo #2129","Bistro","$$","4.9"
"Lubbock","Lone Star Pit of Lubbock #2130","BBQ","$$$","3.6"
"Garland","Big Tex Grill of Garland #2131","Tex-Mex","$$$$","4.1"
"Irving","Blue Bonnet Kitchen of Irving #2132","Steakhouse","$","4.4"
"Amarillo","Yellow Rose Taqueria of Amarillo #2133","Seafood","$$","3.5"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #2134","Southern","$$$","5.0"
"Brownsville","Pecos Table of Brownsville #2135","Bistro","$$$$","3.6"
"McKinney","Lone Star Pit of McKinney #2136","BBQ","$","4.8"
"Frisco","Big Tex Grill of Frisco #2137","Tex-Mex","$$","4.2"
"Pasadena","Blue Bonnet Kitchen of Pasadena #2138","Steakhouse","$$$","5.0"
"Mesquite","Yellow Rose Taqueria of Mesquite #2139","Seafood","$$$$","3.6"
"Austin","Alamo Smokehouse of Austin #2140","Southern","$","4.6"
"Houston","Pecos Table of Houston #2141","Bistro","$$","3.9"
"Dallas","Lone Star Pit of Dallas #2142","BBQ","$$$","4.3"
"San Antonio","Big Tex Grill of San Antonio #2143","Tex-Mex","$$$$","5.0"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #2144","Steakhouse","$","4.4"
"El Paso","Yellow Rose Taqueria of El Paso #2145","Seafood","$$","4.4"
"Arlington","Alamo Smokehouse of Arlington #2146","Southern","$$$","4.5"
"Corpus Christi","Pecos Table of Corpus Christi #2147","Bistro","$$$$","4.3"
"Plano","Lone Star Pit of Plano #2148","BBQ","$","3.6"
"Laredo","Big Tex Grill of Laredo #2149","Tex-Mex","$$","4.8"
"Lubbock","Blue Bonnet Kitchen of Lubbock #2150","Steakhouse","$$$","4.6"
"Garland","Yellow Rose Taqueria of Garland #2151","Seafood","$$$$","4.9"
"Irving","Alamo Smokehouse of Irving #2152","Southern","$","4.7"
"Amarillo","Pecos Table of Amarillo #2153","Bistro","$$","4.7"
"Grand Prairie","Lone Star Pit of Grand Prairie #2154","BBQ","$$$","3.8"
"Brownsville","Big Tex Grill of Brownsville #2155","Tex-Mex","$$$$","4.5"
"McKinney","Blue Bonnet Kitchen of McKinney #2156","Steakhouse","$","4.6"
"Frisco","Yellow Rose Taqueria of Frisco #2157","Seafood","$$","4.1"
"Pasadena","Alamo Smokehouse of Pasadena #2158","Southern","$$$","4.1"
"Mesquite","Pecos Table of Mesquite #2159","Bistro","$$$$","4.5"
"Austin","Lone Star Pit of Austin #2160","BBQ","$","4.3"
"Houston","Big Tex Grill of Houston #2161","Tex-Mex","$$","4.2"
"Dallas","Blue Bonnet Kitchen of Dallas #2162","Steakhouse","$$$","4.9"
"San Antonio","Yellow Rose Taqueria of San Antonio #2163","Seafood","$$$$","3.8"
"Fort Worth","Alamo Smokehouse of Fort Worth #2164","Southern","$","3.5"
"El Paso","Pecos Table of El Paso #2165","Bistro","$$","4.1"
"Arlington","Lone Star Pit of Arlington #2166","BBQ","$$$","4.4"
"Corpus Christi","Big Tex Grill of Corpus Christi #2167","Tex-Mex","$$$$","3.5"
"Plano","Blue Bonnet Kitchen of Plano #2168","Steakhouse","$","3.5"
"Laredo","Yellow Rose Taqueria of Laredo #2169","Seafood","$$","3.7"
"Lubbock","Alamo Smokehouse of Lubbock #2170","Southern","$$$","4.8"
"Garland","Pecos Table of Garland #2171","Bistro","$$$$","4.0"
"Irving","Lone Star Pit of Irving #2172","BBQ","$","4.6"
"Amarillo","Big Tex Grill of Amarillo #2173","Tex-Mex","$$","3.6"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #2174","Steakhouse","$$$","4.1"
"Brownsville","Yellow Rose Taqueria of Brownsville #2175","Seafood","$$$$","4.4"
"McKinney","Alamo Smokehouse of McKinney #2176","Southern","$","4.1"
"Frisco","Pecos Table of Frisco #2177","Bistro","$$","4.6"
"Pasadena","Lone Star Pit of Pasadena #2178","BBQ","$$$","3.7"
"Mesquite","Big Tex Grill of Mesquite #2179","Tex-Mex","$$$$","3.6"
"Austin","Blue Bonnet Kitchen of Austin #2180","Steakhouse","$","4.9"
"Houston","Yellow Rose Taqueria of Houston #2181","Seafood","$$","3.8"
"Dallas","Alamo Smokehouse of Dallas #2182","Southern","$$$","4.1"
"San Antonio","Pecos Table of San Antonio #2183","Bistro","$$$$","4.3"
"Fort Worth","Lone Star Pit of Fort Worth #2184","BBQ","$","4.3"
"El Paso","Big Tex Grill of El Paso #2185","Tex-Mex","$$","4.5"
"Arlington","Blue Bonnet Kitchen of Arlington #2186","Steakhouse","$$$","3.9"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #2187","Seafood","$$$$","4.0"
"Plano","Alamo Smokehouse of Plano #2188","Southern","$","4.5"
"Laredo","Pecos Table of Laredo #2189","Bistro","$$","3.8"
"Lubbock","Lone Star Pit of Lubbock #2190","BBQ","$$$","4.7"
"Garland","Big Tex Grill of Garland #2191","Tex-Mex","$$$$","4.9"
"Irving","Blue Bonnet Kitchen of Irving #2192","Steakhouse","$","4.6"
"Amarillo","Yellow Rose Taqueria of Amarillo #2193","Seafood","$$","3.6"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #2194","Southern","$$$","4.9"
"Brownsville","Pecos Table of Brownsville #2195","Bistro","$$$$","3.7"
"McKinney","Lone Star Pit of McKinney #2196","BBQ","$","4.2"
"Frisco","Big Tex Grill of Frisco #2197","Tex-Mex","$$","4.7"
"Pasadena","Blue Bonnet Kitchen of Pasadena #2198","Steakhouse","$$$","4.5"
"Mesquite","Yellow Rose Taqueria of Mesquite #2199","Seafood","$$$$","5.0"
"Austin","Alamo Smokehouse of Austin #2200","Southern","$","4.6"
"Houston","Pecos Table of Houston #2201","Bistro","$$","4.4"
"Dallas","Lone Star Pit of Dallas #2202","BBQ","$$$","4.1"
"San Antonio","Big Tex Grill of San Antonio #2203","Tex-Mex","$$$$","4.6"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #2204","Steakhouse","$","3.9"
"El Paso","Yellow Rose Taqueria of El Paso #2205","Seafood","$$","4.0"
"Arlington","Alamo Smokehouse of Arlington #2206","Southern","$$$","4.9"
"Corpus Christi","Pecos Table of Corpus Christi #2207","Bistro","$$$$","4.6"
"Plano","Lone Star Pit of Plano #2208","BBQ","$","4.7"
"Laredo","Big Tex Grill of Laredo #2209","Tex-Mex","$$","4.4"
"Lubbock","Blue Bonnet Kitchen of Lubbock #2210","Steakhouse","$$$","3.6"
"Garland","Yellow Rose Taqueria of Garland #2211","Seafood","$$$$","4.0"
"Irving","Alamo Smokehouse of Irving #2212","Southern","$","4.8"
"Amarillo","Pecos Table of Amarillo #2213","Bistro","$$","3.8"
"Grand Prairie","Lone Star Pit of Grand Prairie #2214","BBQ","$$$","4.4"
"Brownsville","Big Tex Grill of Brownsville #2215","Tex-Mex","$$$$","4.5"
"McKinney","Blue Bonnet Kitchen of McKinney #2216","Steakhouse","$","3.8"
